,Tags
0,EPICFAIL
1,jstone
2,esayeem
3,LowKeyStatus
4,MajorWorkEthnic
5,failuresnotanoptionitsastep
6,Back2Back
7,LostBoyz
8,wrwas
9,Tulsa
10,TALKNICETUESDAYS
11,QUEENS
12,PHILLY
13,KyahBaby
14,QGTM
15,lostboyz
16,creationprocess
17,dj1oz
18,offthescalestudios
19,behindthescenes
20,rawvocals
21,vocalmixing
22,OGLegacy
23,MrCheeks
24,thelostboyz
25,johnpkelly
26,backagain
