"32","974375771010514944","TGYT2000","15/3/2018 20:04:21","2666","RT @DucKy_MarCh: NOOBS ESCAPAN DE CREEPERS EN MINECRAFT ","4","1333"
"33","974375776148754432","kamil20006","15/3/2018 20:04:22","2","Podoba mi się film Minecraft na Telefon - HEROBRINE PODPALIŁ MI DOM!!!! #15 w @YouTube – https://t.co/aAGjEx7rrq","4","1"
"34","974375783551643650","RhodesBreno","15/3/2018 20:04:24","5","Gostei de um vídeo @YouTube https://t.co/2Vo6pdLOX5 NO MINECRAFT: Loja de Animais | Início do Verão - Nova Estação -","4","2"
"35","974375785539751937","RealPICHYAYGame","15/3/2018 20:04:24","4","I liked a @YouTube video https://t.co/Yr8cnIzfwn TAKING OUT A SNEAKY PLAYER! (Minecraft Xbox Bedwars)","4","2"
"36","974375785350938624","Krielin","15/3/2018 20:04:24","98336","something about a minecraft icon acc posting estaym evokes some kind of reaction in me but idk what it is","4","49168"
"37","974375796235173890","drjewishpanda","15/3/2018 20:04:27","1","@HissingHyena908 @Cherokee_N @Minecraft I don’t see it yet","4","0"
"38","974375800580558848","ozcandelikanli","15/3/2018 20:04:28","1527","Bir @YouTube videosu beğendim: https://t.co/JwaWkBDDC8 YENİ SERİ ! - Minecraft PE Survival #1","4","764"
"39","974375801020928003","JesusAn85990921","15/3/2018 20:04:28","0","He añadido un vídeo a una lista de reproducción de @YouTube (https://t.co/Tq3LMV8Tz1 - Minecraft - COCINA MOD! (Sandwiches gigantes","4","0"
"40","974375808486735873","UmaMoonkisticaa","15/3/2018 20:04:30","3014","RT @beta_mcpe1: #MCPE/#Minecraft 1.2.13.8 Aquatic BETA is out now with new blocks and The Drowned Mob with proper swimming animations! http…","4","1507"
"41","974375808037945344","Dav1dAMS","15/3/2018 20:04:30","1169","➡️YA PODÉIS VER EL DIRECTO DE LA BETA ACUÁTICA DE MINECRAFT BEDROCK! EMPIEZA EN EL MINUTO 17:36 xD… https://t.co/3jyXcY8xIE","4","584"
"42","974375811196358656","Pabloaayusoo","15/3/2018 20:04:31","69443","RT @IgnacioEpicFail: @marianorajoy ¿Vas a subir Minecraft?","4","34722"
"43","974375820071526400","ElPerro14895142","15/3/2018 20:04:33","27","RT @Diegojosuelara2: ☺Q hos parece si ⤵
¿Hacemos un sorteo de cuentas minecraft premium rapido?","4","14"
"44","974375822277607425","tay_kriss","15/3/2018 20:04:33","72614","@nathandnq c’est un surveillant sur minecraft il fait même des prod","4","36307"
"45","974375823133237248","Michael_Krajny","15/3/2018 20:04:33","3331","Nothing says take us seriously we are serious news, like a Minecraft mug on the news desk","4","1666"
"46","974375825394098183","Hotrod887","15/3/2018 20:04:34","5539","RT @beta_mcpe1: #MCPE/#Minecraft 1.2.13.8 Aquatic BETA is out now with new blocks and The Drowned Mob with proper swimming animations! http…","4","2770"
