domain,hashtags
movie,TheWhiteCrow 
movie,Us 
movie,TheBestofEnemies 
movie,HowtoTrainYourDragon 
movie,Avengers 
movie,BeNatural 
movie,Shazam 
movie,CaptainMarvel 
movie,WonderPark 
movie,LongShot 
movie,UglyDolls 
movie,ElChicano 
movie,Bolden 
movie,PokemonDetectivePikachu 
movie,TheHustle 
movie,Tolkien 
movie,TheBiggestLittleFarm 
movie,MySon 
movie,TheSilenceofOthers 
movie,JohnWick 
movie,TheSouvenir 
movie,Aladdin 
movie,Booksmart 
movie,Halston 
movie,Godzilla 
