football,football
football,football_game
football,football
MAR,March
MAR,Mar
MAR,blemish
MAR,defect
MAR,mar
MAR,mar
MAR,impair
MAR,spoil
MAR,deflower
MAR,vitiate
MAR,mutilate
MAR,mar
RUS,Rus
RUS,ruthenium
RUS,Ru
RUS,atomic_number_44
portugal,Portugal
portugal,Portuguese_Republic
Bruno,Leo_IX
Bruno,Bruno
Bruno,Bruno_of_Toul
Bruno,Bruno
Bruno,Saint_Bruno
Bruno,St._Bruno
Bruno,Bruno
Bruno,Giordano_Bruno
portugal,Portugal
portugal,Portuguese_Republic
Barcelona,Barcelona
football,football
football,football_game
football,football
book,book
book,book
book,volume
book,record
book,record_book
book,book
book,script
book,book
book,playscript
book,ledger
book,leger
book,account_book
book,book_of_account
book,book
book,book
book,book
book,rule_book
book,Koran
book,Quran
book,al-Qur'an
book,Book
book,Bible
book,Christian_Bible
book,Book
book,Good_Book
book,Holy_Scripture
book,Holy_Writ
book,Scripture
book,Word_of_God
book,Word
book,book
book,book
book,book
book,reserve
book,hold
book,book
book,book
book,book
table,table
table,tabular_array
table,table
table,table
table,mesa
table,table
table,table
table,board
table,table
table,postpone
table,prorogue
table,hold_over
table,put_over
table,table
table,shelve
table,set_back
table,defer
table,remit
table,put_off
table,table
table,tabularize
table,tabularise
table,tabulate
fly,fly
fly,tent-fly
fly,rainfly
fly,fly_sheet
fly,fly
fly,tent_flap
fly,fly
fly,fly_front
fly,fly
fly,fly_ball
fly,fly
fly,fly
fly,wing
fly,fly
fly,fly
fly,aviate
fly,pilot
fly,fly
fly,fly
fly,fly
fly,fly
fly,fly
fly,fell
fly,vanish
fly,fly
fly,fly
fly,flee
fly,fly
fly,take_flight
fly,fly
fly,fly
fly,vanish
fly,fly
fly,vaporize
fly,fly
