word,total
""Listen,",3
""Mugsy",3
""played",3
#AWESOME,3
#Beychella,3
#Buckeyes,3
#CavsPacers,3
#Game1,3
#indianapacers,3
#Khloe,3
#lance,3
#money,3
#Playoffs,3
#ROCKETS,3
#Twitter,3
#Warriors,3
(24,3
10-man,3
22,3
2nd,3
4,3
44,3
5,3
@BigDrewandJim:,3
@BoucherMitch:,3
@BSRVictory:,3
"@BullandFox,",3
@Cleveland_PL,3
@ColinCowherd,3
@dpshow:,3
@dufr01,3
@EBSNOnline:,3
@Eclectic707:,3
@EncyCle_,3
@Espngreeny:,3
@History_Cle,3
@joevardon,3
@KelsDayton:,3
@mhmm_w1ll:,3
@MZavagno11,3
@Pacers,3
@PaulaStacey72:,3
@ravewithravi:,3
@Reflog_18,3
@SBNationRadio,3
@SONTSports:,3
@TheRealJRSmith\xe2\x80\xa6,3
@thiswascle,3
@TrendSetHipHop:,3
@WardonSports:,3
admitted,3
again,3
"aggression,",3
ahead!\n#WestBrom\n#SundayMorning\n#Beychella\n#OneDirection\n#ManU\n#MichaelJackson\n#Beyonce\n#BarbaraBush\n#CAVS,3
behind,3
blasts,3
"Bogues"",3
Brooklyn,3
Chicago,3
Click,3
Come,3
Concerned,3
Conference,3
content,3
cut,3
"D,",3
day,3
day!',3
"deficit,",3
doesn\xe2\x80\x99t,3
dominate,3
done,3
Dont,3
drop,3
Edit!!,3
effort,3
entering,3
ESPN,3
Ever,3
every,3
excused,3
execution,3
expect,3
feeling,3
fight,3
find,3
FIRE!!,3
first-round,3
Flutter,3
forgot,3
full,3
Gif,3
Greatest,3
guy,3
had,3
haven\xe2\x80\x99t,3
helps,3
https://t.co/rTBxMij3Sl,3
https://t.co/UUcJrdBwUq',3
intriguing,3
isn\'t,3
I\'m,3
joins,3
JR,3
"JR,",3
"Jr.,",3
Jumped,3
lacks,3
LeBron\xe2\x80\x99s,3
lose,3
lose.,3
Lue:,3
Lue\xe2\x80\x99s,3
Mary..,3
McMillan,3
"mean,",3
minutes,3
minutes),3
Moe,3
much,3
note,3
"Oh,",3
Oladipo's,3
Open,3
out!\xf0\x9f\x94\xa5\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd\nhttps://t.co/lS2IPj0nVO\n\n#clothes,3
outside,3
Pacers-120\n\n#cavspacers\n#cavs\n#Pacers\n\n@unclejeffgreen,3
panic,3
past,3
Pick,3
pick.,3
plans,3
Playoffs\n#Cavs,3
podcast,3
postseason,3
put,3
Q,3
quick,3
rare,3
reaction,3
recapping,3
Rough,3
Same,3
Saying,3
scores,3
shirt,3
SHIT,3
SHOW:\n-,3
skin,3
Someone,3
star,3
starting,3
stop,3
stun,3
Talked,3
tells,3
things,3
thinking,3
thinks,3
Thoughts:,3
"to"",3
took,3
under,3
vs,3
Wagner,3
We're,3
went,3
whining.,3
win.\n\n#Cavs,3
won,3
Wraparound,3
year?,3
YouTube,3
\n\nAwesome,3
\xe2\x80\x9ctight\xe2\x80\x9d,3
\xe2\x80\x9cZero,3
\xf0\x9f\x91\x87\xf0\x9f\x8f\xbdcheck,3
\xf0\x9f\x94\xb4,3
""First",2
""LeBron",2
""Stiff.",2
#Bucks,2
#Cards,2
#cavaliers\xe2\x80\xa6,2
