Num,ID,Created_at,Fav,retweets,text,media1,media2,media3,media4,compund,neg,neu,pos
853,952670702678585344,2018-01-14 22:36:09,2107,6813,"? Only 1 more day to vote for Kyrie Irving ?

1 RT = 1 #NBAVote https://t.co/VjJh3Y3rWp",https://video.twimg.com/amplify_video/952668306359468032/vid/720x720/53y_77xoDswYSLq3.mp4,N/A,N/A,N/A,0,0,1,0
854,952329432785608705,2018-01-14 0:00:04,4351,6212,"? Kyrie doing Kyrie things ?

RT to #NBAVote for Kyrie Irving https://t.co/VMZ3BqbRl6",https://video.twimg.com/amplify_video/952314785244200960/vid/720x720/FqfsX0-rQmjL__rl.mp4,N/A,N/A,N/A,0,0,1,0
855,952318167967240193,2018-01-13 23:15:19,258,68,"Hear how the Celtics viewed the grueling first half of the season, as they return from London and stare down remainder of their campaign. https://t.co/7Di4m93jGn",https://video.twimg.com/ext_tw_video/952318105904189440/pu/vid/1280x720/H-h0TVTpxLLZmCPk.mp4,N/A,N/A,N/A,0,0,1,0
856,952318105925042176,2018-01-13 23:15:04,323,58,"Hear how the Celtics viewed the grueling first half of the season, as they return from London and stare down remainder of their season. https://t.co/UtHM1Dm0r6",https://video.twimg.com/amplify_video/952311115525926912/vid/1280x720/6fvMh0nRnOznpgN4.mp4,N/A,N/A,N/A,0,0,1,0
857,952310922059702273,2018-01-13 22:46:31,266,56,"On paper, Thursday?s contest in London was merely another game on our schedule. But in reality, it proved to be far more than just that: https://t.co/OWJa5qY7Hz",N/A,N/A,N/A,N/A,0,0,1,0
858,952304813550723072,2018-01-13 22:22:15,1668,3407,"Send Al to LA

RT to #NBAVote for Al Horford https://t.co/j5eHAf8xSf",https://video.twimg.com/amplify_video/952303759954096128/vid/720x720/03G3bGE3eHHZPCn1.mp4,N/A,N/A,N/A,0,0,1,0
859,952285747872129024,2018-01-13 21:06:29,561,130,"That's a wrap on #NBALondon ?

Take a look behind-the-scenes at a great week across the pond. https://t.co/zMW7Rojuao",https://video.twimg.com/amplify_video/952265709370859521/vid/1280x720/kAoOSoHApbNaEXhT.mp4,N/A,N/A,N/A,0.6249,0,0.76,0.24
860,952277503804104704,2018-01-13 20:33:44,1177,170,"Kyrie believes Boston's young players will benefit from the grueling 1st half of the season: ""It will not only be good for the 2nd half of this season, but it will be great for their career to understand what it?s like going through a grueling NBA season.""",N/A,N/A,N/A,N/A,0.8806,0.031,0.769,0.2
861,952276706978656256,2018-01-13 20:30:34,985,180,"Kyrie on Boston?s ability to overcome large deficits: ""We have a package that we go to down the stretch, especially when we get in situations like that. And I think we just have no-quit attitude... just being resilient &amp; executing.""",N/A,N/A,N/A,N/A,0.5859,0,0.882,0.11800000000000001
862,952271529345208320,2018-01-13 20:09:59,729,131,"Tatum injured his knee during the 3rd qtr of Thursday's game, per Brad Stevens. ""It stiffened up, swelled up a little bit the next morning. He?s going to have further testing done today.""",N/A,N/A,N/A,N/A,-0.4019,0.08,0.92,0
863,952271295781265410,2018-01-13 20:09:03,358,73,"Jayson Tatum (knee), Al Horford (calf) and Shane Larkin (illness) all sat out of today's practice. #NEBHInjuryReport",N/A,N/A,N/A,N/A,0,0,1,0
864,952222604202577921,2018-01-13 16:55:34,404,55,"""When I go home, I look forward to eating ______.""

Find out what these players had to say in Parquet Personalities presented by @GrnMtnCreamery. https://t.co/XrHw4KxbSl",https://video.twimg.com/ext_tw_video/952222514821779456/pu/vid/1280x720/PHMLRI4uqsUiOdrP.mp4,N/A,N/A,N/A,0,0,1,0
865,951914297621401601,2018-01-12 20:30:28,741,136,"57.9 ft in 3.4 seconds AND he hits the three ?

We're taking another look at Terry's clutch three in The Breakdown presented by @generalelectric. https://t.co/yIqy6V4bsc",https://video.twimg.com/ext_tw_video/951914214007984129/pu/vid/1280x720/07rME9pw8ReHzlR6.mp4,N/A,N/A,N/A,0,0,1,0
866,951896722883665921,2018-01-12 19:20:38,1302,282,"52 years ago today, Red Auerbach reached his 1,000th career win. https://t.co/9XRWjDqef2",https://video.twimg.com/amplify_video/951892247058010113/vid/1280x720/Pi_biy9Ep0bChJzC.mp4,N/A,N/A,N/A,0.6369,0,0.6579999999999999,0.342
867,951704184889532416,2018-01-12 6:35:34,1011,202,How about that second half? We caught fire in London and pulled away to down the Sixers 114-103. https://t.co/bM3QRNM8bd,https://video.twimg.com/amplify_video/951693370816126976/vid/1280x720/WwH7rc7Cf-I_eHnz.mp4,N/A,N/A,N/A,-0.34,0.11800000000000001,0.882,0
868,951645271947206662,2018-01-12 2:41:28,1946,451,From London: Jaylen Brown and Jayson Tatum showed the world Thursday night that they're the top young duo in the NBA https://t.co/8bDtaf8SKp,N/A,N/A,N/A,N/A,0.2023,0,0.9209999999999999,0.079
869,951627325103329280,2018-01-12 1:30:09,537,77,"Boston didn't panic as it faced a 22-pt deficit to the 76ers Thurs. night in London. The C's had been in this position before, &amp; they knew exactly how to fight their way back: https://t.co/FTZm1IAFAb",N/A,N/A,N/A,N/A,-0.3814,0.136,0.795,0.069
870,951608986834530304,2018-01-12 0:17:17,992,3163,Jaylen Brown #NBAVote,N/A,N/A,N/A,N/A,0,0,1,0
871,951608927040438273,2018-01-12 0:17:02,1320,4027,Jayson Tatum #NBAVote,N/A,N/A,N/A,N/A,0,0,1,0
872,951608861282242560,2018-01-12 0:16:47,454,2080,Al Horford #NBAVote,N/A,N/A,N/A,N/A,0,0,1,0
873,951608810182991872,2018-01-12 0:16:35,666,2721,Kyrie Irving #NBAVote,N/A,N/A,N/A,N/A,0,0,1,0
874,951608767799529474,2018-01-12 0:16:24,564,317,"?LET?S GET THESE VOTES UP? 

Vote 5x today per guy by taking advantage of today?s 2-for-1 day on https://t.co/uHoF62XHLs AND the Celtics App

Then RT each tweet in this thread ?? https://t.co/YIOzdQF79q",http://pbs.twimg.com/media/DTTLH0tVMAAiOI1.jpg,N/A,N/A,N/A,0.25,0,0.9390000000000001,0.061
875,951599600997199873,2018-01-11 23:39:59,909,564,"Jaylen Brown (#NBAVote) helped muscle the C's through a 22-point deficit Thurs. night in London, as Boston ousted the 76ers for its 7th straight W. Here's how it unfolded: https://t.co/p84DQCtSI1",N/A,N/A,N/A,N/A,-0.2023,0.085,0.8540000000000001,0.06
876,951588197091430401,2018-01-11 22:54:40,8252,2236,"Today?s win marks the 200th career victory for Head Coach Brad Stevens.

He is the 7th head coach in franchise history to reach the 200-win mark. https://t.co/R6K1cO8q75",http://pbs.twimg.com/media/DTS4a1gXcAApXFI.jpg,N/A,N/A,N/A,0.5994,0,0.836,0.16399999999999998
877,951586785024466947,2018-01-11 22:49:03,441,112,Theis finishes through contact off the dime from Kyrie to earn tonight?s @JetBlue Play of the Game honors ?? https://t.co/apbtzPWbeZ,https://video.twimg.com/amplify_video/951584541214351360/vid/1280x720/X09fyeXIltRiINk-.mp4,N/A,N/A,N/A,0.6908,0,0.759,0.24100000000000002
878,951585738524676099,2018-01-11 22:44:54,1136,202,Thank you London for all the love this week! https://t.co/6HFDUiu5T7,https://video.twimg.com/ext_tw_video/951585647764131842/pu/vid/720x1280/RQ-pa8CidOESRtLC.mp4,N/A,N/A,N/A,0.7901,0,0.534,0.466
