tweet_id,create_at,tweet_text,favorite_count,retweet_count,tags
9.89367E+17,2018/4/26 4:56,b'RT @CoupleDixy: En un minuto hay muchos d\xc3\xadas.',0,55,[]
9.89367E+17,2018/4/26 4:54,b'RT @Alexaarobles: Porque me cans\xc3\xa9 de volver y ceder; de construir en vano puentes para intentar alcanzarte.',0,178,[]
9.89366E+17,2018/4/26 4:52,b'RT @Panoxet: #SABIDURIA http://t.co/GHXllhHxJs',0,1625,"[{'text': 'SABIDURIA', 'indices': [13, 23]}]"
9.89366E+17,2018/4/26 4:51,b'RT @BullThorete: Cuando vas de fiesta y te despiertas al d\xc3\xada siguiente \xf0\x9f\x98\x82 https://t.co/J3aHNqQVAj',0,360,[]
9.89366E+17,2018/4/26 4:50,b'RT @elchicodetwiter: Cuando apruebas un examen sin estudiar: https://t.co/Xl7ZDF01Bv',0,16439,[]
9.89366E+17,2018/4/26 4:49,b'RT @Leonosoy_: \xe2\x80\x94\xc2\xbfTienes un chicle?\n\xe2\x80\x94S\xc3\xad.\n\xe2\x80\x94\xc2\xbfMe das?\n\xe2\x80\x94Tambi\xc3\xa9n. \xf0\x9f\x98\x8f',0,2714,[]
9.89365E+17,2018/4/26 4:48,b'RT @frasesenavion: Lo m\xc3\xa1s importante en la vida es amarte a ti mismo como eres. #LindseyStirling',0,60,"[{'text': 'LindseyStirling', 'indices': [80, 96]}]"
9.89353E+17,2018/4/26 4:00,b'En la vida hay que vivir de realidades y no de ilusiones.',2,2,[]
9.89323E+17,2018/4/26 2:00,"b'El cielo se nubl\xc3\xb3, parece que va a llover, as\xc3\xad se ponen mis ojos cuando no te puedo ver.'",1,2,[]
9.89293E+17,2018/4/26 0:00,"b'Una persona que realmente te conoce es alguien que ve el dolor en tus ojos, mientras los de creen que sonr\xc3\xades.'",2,1,[]
9.89263E+17,2018/4/25 22:00,b'A las personas que m\xc3\xa1s extra\xc3\xb1o solo puedo verlas cerrando los ojos.',7,2,[]
9.89233E+17,2018/4/25 20:00,b'Leerlo 100 veces sonriendo al tel\xc3\xa9fono',1,0,[]
9.89202E+17,2018/4/25 18:00,b'Eres eso que le pone sentido a mi vida.',0,0,[]
9.89172E+17,2018/4/25 16:00,"b'El amor comienza cuando lo tuyo y lo mio, se transforma en lo nuestro.'",0,0,[]
9.89142E+17,2018/4/25 14:00,"b'Apuesto a que hoy dormir\xc3\xa1s con los \xc3\xa1ngeles y so\xc3\xb1ar\xc3\xa1s conmigo, pero un d\xc3\xada dormir\xc3\xa1s conmigo y so\xc3\xb1ar\xc3\xa1s con los \xc3\xa1ngeles.'",4,2,[]
9.89112E+17,2018/4/25 12:00,"b'Tenemos cinco sentidos y los cinco usamos, pero los cinco perdemos cuando nos enamoramos.'",3,3,[]
9.89082E+17,2018/4/25 10:00,"b'El hombre no deja de existir cuando muere, sino cuando deja de amar.'",3,2,[]
9.89051E+17,2018/4/25 8:00,b'Cuando miro al cielo imagino tu dulce mirada clav\xc3\xa1ndose en la m\xc3\xada...',1,0,[]
9.89021E+17,2018/4/25 6:00,"b'El amor, como la tos, no se puede ocultar.'",1,1,[]
9.88991E+17,2018/4/25 4:00,"b'Y te das cuenta de que todo lo que has luchado no ha servido para nada, pero sigues ah\xc3\xad, queri\xc3\xa9ndole como el primer d\xc3\xada, o incluso m\xc3\xa1s.'",1,1,[]
9.88961E+17,2018/4/25 2:00,b'Si el Amor fuera una asignatura... vente a repasar conmigo!!',0,0,[]
9.88931E+17,2018/4/25 0:00,"b'Recuerda siempre que el primer beso no se da con la boca, sino con la mirada.'",8,2,[]
9.889E+17,2018/4/24 22:00,"b'Si fueses el mar me gustar\xc3\xada ser una roca, para que al subir la marea pudiera darte un beso en la boca.'",0,0,[]
9.8887E+17,2018/4/24 20:00,"b'Dicen que la distancia es causa del olvido, eso lo dice aquel que nunca a querido.'",2,0,[]
9.8884E+17,2018/4/24 18:00,b'Me echaron Amor a mi bebida.',0,0,[]
9.8881E+17,2018/4/24 16:00,"b'No desayuno por pensar en ti, no como por pensar en ti, tampoco ceno s\xc3\xb3lo por pensar en ti, y no duermo por que tengo hambre.'",0,1,[]
9.8878E+17,2018/4/24 14:00,"b'Si alg\xc3\xban d\xc3\xada Dios nos dijera que amar es pecado, prefiero ser pecador y vivir enamorado.'",0,0,[]
9.88749E+17,2018/4/24 12:00,b'Si la vida fuera perfecta estar\xc3\xada a tu lado ;)',0,0,[]
9.88719E+17,2018/4/24 10:00,b'Mujer invisible busca a hombre transparente para hacer cosas nunca vistas...',0,1,[]
9.88689E+17,2018/4/24 8:00,"b'Me gusta tu pelo, me gustan tus ojos, pero mas me gustan tus labios para poder besarlos.'",2,1,[]
9.88673E+17,2018/4/24 6:58,b'RT @Panoxet: OLA KE MIRA http://t.co/PlyEXTqbeL',0,4360,[]
9.88669E+17,2018/4/24 6:39,b'VIEJITAS PERO BONITAS #1...LA M\xc3\x9aSICA DEL AYER.: https://t.co/EJ5gWGoLd0 via @YouTube',1,0,[]
9.88659E+17,2018/4/24 6:00,b'Nunca sabr\xc3\xa9 si alg\xc3\xban d\xc3\xada estuve enamorado hasta que tu amor me hayan arrevatado...',0,0,[]
9.88629E+17,2018/4/24 4:00,"b'Un amigo verdadero no estar\xc3\xa1 de acuerdo contigo solamente para hacerte feliz, siempre te dir\xc3\xa1 la verdad sin importar cu\xc3\xa1n mala sea.'",1,2,[]
9.88598E+17,2018/4/24 2:00,"b'Si no suena el tel\xc3\xa9fono, soy yo.'",0,0,[]
9.88568E+17,2018/4/24 0:00,"b'Del amor no se sabe nada, ni d\xc3\xb3nde nace ni d\xc3\xb3nde muere, s\xc3\xb3lo se sabe que hace da\xc3\xb1o cuando el destino lo quiere.'",3,4,[]
9.88538E+17,2018/4/23 22:00,b'Si la vida fuera perfecta estar\xc3\xada a tu lado ;)',3,3,[]
9.88508E+17,2018/4/23 20:00,"b'Es triste fingir que s\xc3\xb3lo hay amistad, cuando yo siento por ti que te quiero de verdad.'",6,4,[]
9.88478E+17,2018/4/23 18:00,"b'Es triste mirar el mar en una noche sin luna, pero m\xc3\xa1s triste es amar sin esperanza alguna.'",1,3,[]
9.88448E+17,2018/4/23 16:00,"b'Quisiera ser almohada para acariciar tu cara y decirte al oido: Mi Amor, mi coraz\xc3\xb3n te AMA.'",2,2,[]
9.88417E+17,2018/4/23 14:00,b'No porque exista el perd\xc3\xb3n la gente tiene derecho a da\xc3\xb1ar las veces que quiera.',3,3,[]
9.88387E+17,2018/4/23 12:00,"b'Querete como te quiero, amarte como sabr\xc3\xa1s, serte fiel hasta la muerte, pero rogarte jam\xc3\xa1s.'",2,0,[]
9.88357E+17,2018/4/23 10:00,b'A veces la vida te pone a prueba para ver si eres lo suficientemente fuerte para seguir adelante.',0,0,[]
9.88327E+17,2018/4/23 8:00,"b'El amor es libre, pero sin embargo hay carcel.'",0,0,[]
9.88296E+17,2018/4/23 6:00,"b'Te quiero a ti con todo incluido: tus defectos, tu pasado, tus errores, tu sonrisa, tus bromas, tu sarcasmo, tus celos, tus enojos.'",8,1,[]
9.88266E+17,2018/4/23 4:00,b'Una mirada dice mil palabras',3,3,[]
9.88236E+17,2018/4/23 2:00,b'No es lo mismo dar amor al que lo mendiga a aquel que te lo pida.',0,0,[]
9.88206E+17,2018/4/23 0:00,b'Si vas a abandonar a mitad de camino es preferible no empezar.',4,3,[]
9.88176E+17,2018/4/22 22:00,"b'El verdadero amor te hace sufrir, y en ese momento descubres que realmente amas, por lo que ese sufrimiento desaparece.'",1,4,[]
9.88145E+17,2018/4/22 20:00,b'Eres la melod\xc3\xada de todos mis silencios.',4,1,[]
9.88115E+17,2018/4/22 18:00,"b'El ser de... es un sentimiento y en los sentimientos manda el coraz\xc3\xb3n, los sentimientos mueren, pero no se pueden matar.'",1,0,[]
9.88085E+17,2018/4/22 16:00,"b'Quien puede decir cu\xc3\xa1nto ama, peque\xc3\xb1o amor siente.'",2,0,[]
9.88055E+17,2018/4/22 14:00,b'En mis sue\xc3\xb1os sigues siendo el pr\xc3\xadncipe de mi reino.',2,1,[]
9.88025E+17,2018/4/22 12:00,b'Una de las mejores sensaciones en la vida es abrazar a alguien despu\xc3\xa9s de haberlo extra\xc3\xb1ado tanto.',7,6,[]
9.87994E+17,2018/4/22 10:00,"b'Todo pasa por algo y lo que no pasa, tambi\xc3\xa9n es por algo.'",2,2,[]
9.87964E+17,2018/4/22 8:00,b'No vas a saber todo lo que valgo hasta que no pueda ser junto a ti todo lo que soy',2,2,[]
9.87934E+17,2018/4/22 6:00,"b'Si las cosas van bien, disfr\xc3\xbatalas. Si las cosas van mal, no te preocupes, no van a durar para siempre.'",6,2,[]
9.87904E+17,2018/4/22 4:00,b'Me es imposible ver tus fotos y no volverme a enamorar.',4,1,[]
9.87874E+17,2018/4/22 2:00,"b'En el cielo hay una estrella que presume de bonita, pero yo tengo un novio que la deja chiquitita...'",1,0,[]
9.87844E+17,2018/4/22 0:00,b'\xc2\xbfPor qu\xc3\xa9 todo el mundo sue\xc3\xb1a con tener un amor de pel\xc3\xadcula si solo dura dos horas?',9,1,[]
9.87813E+17,2018/4/21 22:00,b'Cuando vayas por el camino y veas en un campo el Sol brillar acu\xc3\xa9rdate de quien te ama que nunca te olvidar\xc3\xa1.',2,1,[]
9.87783E+17,2018/4/21 20:00,"b'Si te das cuenta al amanecer que est\xc3\xa1 nublado, es porque el cielo es testigo de cu\xc3\xa1nto te extra\xc3\xb1o.'",2,0,[]
9.87753E+17,2018/4/21 18:00,"b'Porque sabes que te quiero y quieres que te quiera m\xc3\xa1s, te quiero porque te quiero \xc2\xbfQu\xc3\xa9 m\xc3\xa1s quieres? \xc2\xbfQuieres m\xc3\xa1s?'",1,0,[]
9.87723E+17,2018/4/21 16:00,"b'\xc2\xbfSoy el demonio y t\xc3\xba un \xc3\xa1ngel, te gustar\xc3\xada ayudarme a enderezar mi camino?'",0,0,[]
9.87692E+17,2018/4/21 14:00,"b'Para qu\xc3\xa9 me sirve mirar a la luna si no la puedo tocar, para qu\xc3\xa9 mirar tus labios si no los puedo besar.'",1,1,[]
9.87662E+17,2018/4/21 12:00,"b'Quisiera poderte tocarte, quisiera poderte besarte, pero aunque t\xc3\xba no me conozcas, te amo cada d\xc3\xada m\xc3\xa1s.'",0,0,[]
9.87632E+17,2018/4/21 10:00,b'El amor es la raz\xc3\xb3n por la que vivimos. \xc2\xbfCu\xc3\xa1l es la raz\xc3\xb3n por la que morimos?',1,0,[]
9.87602E+17,2018/4/21 8:00,"b'Puedes confiar en m\xc3\xad, que nunca te dejar\xc3\xa9, por el amor que te tengo, por t\xc3\xad siempre luchar\xc3\xa9.'",2,3,[]
9.87572E+17,2018/4/21 6:00,b'Siempre habr\xc3\xa1 herrero para un clavo torcido?',0,0,[]
9.87541E+17,2018/4/21 4:00,"b'\xc2\xbfCasualidad? \xc2\xbfDestino? No s\xc3\xa9, pero te conoc\xc3\xad por algo.'",10,5,[]
9.87511E+17,2018/4/21 2:00,b'Amor no es el sentimiento entre dos personas sino que tan solo es lo que siento yo por ti.',3,1,[]
9.87481E+17,2018/4/21 0:00,b'Eres como ese pensamiento hermoso que ronda por la mente dejando un recuerdo imposible de borrar. Te quiero pensamiento m\xc3\xado.',4,2,[]
