original,mis1,mis2,mis3
middlebury-college-snow-bowl,,,
missaukee-mountain,,,
mohawk-mountain,,,
monarch,,,
mont-du-lac,,,
mont-ripley,,,
montage-mountain-resort,,,
montana-snowbowl,,,
moose-mountain,,,
mott-mountain,,,
mount-greylock-south-williamstown,,,
mount-pleasant,,,
mount-prospect-lancaster,,,
mount-ski-gull,,,
mount-snow,,,
mountain-creek-vernon,,,
mountain-high-east,,,
mountain-high-north,,,
mountain-high-west,,,
mt-abram,,,
mt-ashland,,,
mt-ashwabay-salmo,,,
mt-bachelor,,,
mt-bailey,,,
mt-baker,,,
mt-baldy,,,
mt-bohemia,,,
mt-brighton,,,
mt-eustis-littleton,,,
mt-eyak,,,
mt-holiday,,,
mt-holly,mt holly,,
mt-hood-meadows,,,
mt-hood-skibowl,,,
mt-jefferson,,,
mt-kato,,,
mt-la-crosse,,,
mt-lemmon-ski-valley,,,
mt-mc-sauba,,,
mt-peter,mt petter,,
mt-pisgah,,,
mt-rose,,,
mt-shasta-ski-park,,,
mt-southington,,,
mt-spokane,,,
mt-sunapee,,,
mt-waterman,,,
mt-zion-hill,,,
mulligans-hollow-ski-bowl,,,
mystic-mountain-farmington,,,
nashoba-valley,,,
navarino-hills,,,
nor-ski-runs-decorah,,,
nordic-mountain,,,
nordic-valley,,,
north-bicentennial-park,,,
north-cascade-heliskiing-mazama,,,
northeast-slopes-east-corinth,,,
northstar-california-resort,star,,
norway-mountain,,,
nubs-nob-ski-area,,,
nutt-hill-plymouth,,,
oak-mountain,,,
ober-gatlinburg,,,
oglebay-resort,,,
okemo,,,
otis-ridge,,,
otsego-gaylord,,,
pajarito-mountain,,,
pando-park,,,
paoli-peaks,,,
park-city,,,
pats-peak,,,
paul-bunyan-ski-hill,,,
pebble-creek,,,
peekn-peak,,,
perfect-north-slopes,,,
petoskey-winter-sports-park,,,
pico-mountain,,,
pine-creek,pine creeeek,,
pine-knob,,,
pine-mountain,,,
pinnacle-park-pittsfield,,,
plattekill,,,
plumas-eureka-ski-bowl,,,
plumtree-ski-hill-fawnridge,,,
points-north-heli-adventures,,,
polar-peak,polar-beer,polar,
pomerelle,pomerlla,,
porcupine-mountain,,,
potawatomi-park,,,
powder-mountain,,,
powder-ridge,,,
powder-ridge-mountain-park-resort,,,
powderbird,,,
powderhorn,,,
powderhouse-hill-south-berwick,,,
powers-bluff,,,
purgatory-durango,,,
quadna-mountain,quadnasfa,,
quechee-lakes-ski-area,,,
quoggy-jo-ski-center-presque-isle,,,
ragged-mountain,,,
raging-buffalo-algonquin,,,
ravenswood,,,
red-hill-moultonborough,,,
red-lodge-mountain,,,
red-river,blue rier,,
riverside-hills,,,
riverview-highlands,,,
rocking-horse-ranch,,,
rotarun,return,,
roundtop,,,
royal-mountain,,,
ruby-mountain,,,
saddleback,,,
sahalie-ski-club,,,
sand-master-park-florence,,,
sandia-peak,,,
santa-fe,,,
sapphire-valley,,,
sawkill-ski,,,
sawmill-mountain-resort,,,
schweitzer-mountain-resort,,,
scotch-valley-resort,,,
seacoast-snow-park,,,
seven-oaks,,,
seven-springs,,,
shanty-creek-resorts-schuss-mountain,,,
shanty-creek-resorts-summit-mountain,,,
shawnee-mountain,,,
shawnee-peak,,,
showdown,,,
shu-maker-mountain-little-falls,,,
sierra-at-tahoe,,,
sierra-summit,,,
silver-mountain,,,
silver-ridge,,,
silverton-mountain,,,
sipapu,,,
sitzmark,smart,,
ski-brule,,,
skiland-mt-aurora,,,
sky-tavern,,,
skyline-friendship,,,
sleeping-giant,,,
sleepy-hollow-sports-park-des-moines,,,
smugglers-notch,,,
snoebahn-centennial,,,
snow-creek,,,
snow-hill-at-eastman,,,
snow-king-mountain-jackson,,,
snow-ridge,,,
snow-snake,snake,,
snow-summit-big-bear-lake,,,
snow-trails,,,
snow-valley,,,
snowbasin,,,
snowbird,,,
snowhaven,,,
snowmass,,,
snowshoe-mountain,,,
snowstar,,,
snowy-range,,,
soda-springs,soda spiring,,
soldier-mountain,,,
solitude,,,
song-mountain,,,
spirit-mountain,,,
spout-springs,,,
spring-mountain,,,
spruce-mountain-jay,,,
squaw-valley,,,
stagecoach,,,
standing-rocks,,,
steamboat,,,
sterling-forest-ski-center,,,
stevens-pass,,,
storrs-hill-lebanon,,,
stover-mountain,,,
stowe,,,
stratton,,,
sugar-bowl,,,
sugar-mountain,,,
sugarbush,,,
sugarloaf,,,
suicide-six,,,
summit-ski-area-at-mt-hood,,,
sunburst,,,
sundance,,,
sunday-river,,,
sundown,,,
sundown-mountain-resort,,,
sunlight-mountain,,,
sunrise-park,,,
sunset-ski-area,,,
swain,,,
swiss-valley,,,
tamarack-resort,,,
taos,,,
telluride,,,
tenney-mountain,,,
terry-peak,,,
teton-pass,,,
the-balsams,balsams,,
the-homestead-resort,,,
the-omni-homestead,,,
the-ridge-le-roy,,,
the-rock-snow-park,,,
the-summit-at-snoqualmie,,,
the-whitecap-mountains,,,
thunder-ridge,thunder-ride,,
timber-ridge,,,
timberline,,,
timberline-four-seasons,,,
titcomb-mountain,,,
titus-mountain,,,
toggenburg-ski-center,,,
treetops-sylvan,,,
triangle-sports-area-green-bay,,,
trollhaugen,,,
turner-mountain,,,
tussey-mountain,,,
tuxedo-ridge,,,
tyrol-basin-mt-horeb,,,
vail,,,
val-bialas-ski-center-utica,,,
valdez-heli-ski-guides,,,
veterans-memorial-franklin,,,
villa-olivia-bartlett,,,
villa-roma,villa roma,,
wachusett-mountain,,,
ward-hill-shrewsbury,,,
warner-canyon-lakeview,,,
waterville-valley,,,
welch-village,willage,,
wenatchee-mission-ridge,,,
west-mountain,westmount,,
whaleback,,,
whisper-ridge,,,
white-pass,white apss,,
white-pine-pinedale,,,
whiteface-lake-placid,,,
whitefish-mountain-resort,,,
whitetail,,,
whitetail-ridge-fort-mccoy,,,
wild-mountain,wildmount,,
wildcat-mountain,,,
willamette-pass-crescent,,,
willard-mountain-greenwich,,,
wilmot-mountain,,,
windham-mountain,,,
winter-park-kewaunee-county,,,
winter-park-resort,,,
winterclub-indoor-ski-snowboard-winter-park,,,
wintergreen-resort,,,
winterplace,womterpla,,
wisp-mchenry-deep-creek-lake,,,
wolf-creek,,,
wolf-ridge,,,
woodbury,woodberu,,
woods-valley,,,
yawgoo-valley,,,
yellowstone-club,,,
