"['pokemongo']","17"
"[]","15"
"['pokemonduel']","8"
"['pokemonday']","8"
"['pokemonletsgo']","8"
"['detectivepikachu']","5"
"['pokemonholidaycheer']","5"
"['playpokemon']","5"
"['pokemontcg']","4"
"['pokemoncenter']","4"
"['pokemonvalentine']","3"
"['pokemongo'","3"
"['pokemontheseries']","3"
"['pokemongocommunityday']","3"
"'pokemonletsgo']","2"
"'playpokemon']","2"
"['gobattle'","1"
"['pokemontcg'","1"
"['detectivepikachumovie'","1"
"'pokemongo']","1"
"['wednesdaywisdom'","1"
"'pokemonultrasunmoon']","1"
"['pokemonletsgo'","1"
"'pokemonresolutions']","1"
"['pokemonultrasunmoon'","1"
"'teampikachu'","1"
"'gobattle']","1"
"['wednesdaywisdom']","1"
"'pokemonsunmoon'","1"
"'teameevee']","1"
"['pokemonresolutions']","1"
"'belegendary']","1"
"['firstdayofspring']","1"
"['pokemonvg'","1"
"['mondaymotivation']","1"
"['pokemondirect']","1"
"['pokemonhalloween']","1"
