old_movie_id,movie_title,director_name,main_actor,genre_id
107,Road to Perdition ,Sam Mendes,Tom Hanks,10
108,The Twilight Saga: Breaking Dawn - Part 2 ,Bill Condon,Robert Pattinson,1
109,Get Carter ,Stephen Kay,Sylvester Stallone,8
110,Capricorn One ,Peter Hyams,David Huddleston,8
111,Life             ,,Adam Arkin,10
112,Mortal Kombat: Annihilation ,John R. Leonetti,Brian Thompson,8
113,The Next Three Days ,Paul Haggis,Olivia Wilde,1
114,Boogeyman ,Stephen Kay,Barry Watson,12
115,Boiler Room ,Ben Younger,Vin Diesel,8
116,Furry Vengeance ,Roger Kumble,Brendan Fraser,13
117,Eternal Sunshine of the Spotless Mind ,Michel Gondry,Kate Winslet,7
118,The General's Daughter ,Simon West,Daniel von Bargen,5
119,Antz ,Eric Darnell,Sylvester Stallone,13
120,Live-In Maid ,Jorge Gaggero,Norma Aleandro,1
121,Blackthorn ,Mateo Gil,Sam Shepard,2
122,The Haunting of Molly Hartley ,Mickey Liddell,Jessica Lowndes,12
123,The Big Short ,Adam McKay,Ryan Gosling,15
124,Redbelt ,David Mamet,Alice Braga,1
125,Baby's Day Out ,Patrick Read Johnson,Joe Mantegna,13
126,The Players Club ,Ice Cube,Bernie Mac,6
127,Alvin and the Chipmunks: The Road Chip ,Walt Becker,Bella Thorne,11
128,A Dangerous Method ,David Cronenberg,Michael Fassbender,8
129,Bodyguards and Assassins ,Teddy Chan,Bingbing Fan,15
131,Jack the Giant Slayer ,Bryan Singer,Eddie Marsan,3
132,In & Out ,Frank Oz,Tom Selleck,6
133,Knowing ,Alex Proyas,Nicolas Cage,1
134,Aloha ,Cameron Crowe,Emma Stone,1
135,Punisher: War Zone ,Lexi Alexander,Julie Benz,10
136,The Perfect Man ,Mark Rosman,Ben Feldman,4
138,Spotlight ,Tom McCarthy,Billy Crudup,15
139,Hoot ,Wil Shriner,Logan Lerman,13
141,Australia ,Baz Luhrmann,Essie Davis,1
142,The Adventures of Rocky & Bullwinkle ,Des McAnuff,Robert De Niro,11
144,Timeline ,Richard Donner,Paul Walker,3
145,The Possession ,Ole Bornedal,Kyra Sedgwick,8
146,Dope ,Rick Famuyiwa,Kimberly Elise,10
147,Eye for an Eye ,John Schlesinger,Joe Mantegna,10
148,Penguins of Madagascar ,Eric Darnell,Benedict Cumberbatch,3
149,A Lonely Place to Die ,Julian Gilbey,Ed Speleers,2
150,Hit and Run ,David Palmer,Bradley Cooper,6
151,L'auberge espagnole ,Cédric Klapisch,Romain Duris,1
153,Striptease ,Andrew Bergman,Demi Moore,6
154,The Cave ,Bruce Hunt,Eddie Cibrian,3
155,Heaven Is for Real ,Randall Wallace,Jacob Vargas,14
156,Parker ,Taylor Hackford,Jason Statham,10
157,Small Apartments ,Jonas Åkerlund,Noel Gugliemi,10
158,City Hall ,Harold Becker,Al Pacino,8
159,Orphan ,Jaume Collet-Serra,Jimmy Bennett,8
160,Henry V ,Kenneth Branagh,Brian Blessed,14
161,Shrek 2 ,Andrew Adamson,Rupert Everett,13
162,Austin Powers: The Spy Who Shagged Me ,Jay Roach,Muse Watson,10
163,The Santa Clause ,John Pasquin,Judge Reinhold,1
164,Spun ,Jonas Åkerlund,Patrick Fugit,10
165,12 Monkeys             ,,Amanda Schull,7
166,There Will Be Blood ,Paul Thomas Anderson,Jim Meskimen,1
