0,use_id,from_user,text,time,user_lang,user_followers_count,retweet_count,user_friends_count,user_location,user_favorites,status_url,entities_str
144,9.88E+17,Rome_Fell,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 21:00:27,en,1745,12215,3047,"North Carolina, USA",24470,http://twitter.com/Rome_Fell/statuses/987783142206394368,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
145,9.88E+17,Alrich39Richard,"RT @larryelder: The two black men said they remain upset with #Starbucks because ""rules are rules, but right is right."" So...it's...morally...wrong...to...require...a...buy...before...permitting...a...customer...to...use...their...restroom?!?
Somebody call the ACLU!!!",21/04/2018 21:00:25,en,776,5432,915,Alabama,10904,http://twitter.com/Alrich39Richard/statuses/987783133494960129,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[62,72]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
146,9.88E+17,borgeypoo,"RT @amjoyshow: From #Starbucks to Hashtags: We Need to Talk About Why White Americans Call the Police on Black People https://t.co/EIQOVvpZSi via @TheRoot | @DrJasonJohnson joins @amjoyshow today, 10 AM ET this #SaturdayMorning on @MSNBC #reiders",21/04/2018 21:00:18,en,117,819,1085,,1678,http://twitter.com/borgeypoo/statuses/987783104055005185,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[20,30]}],""symbols"":[],""user_mentions"":[{""screen_name"":""amjoyshow"",""name"":""AM Joy w/Joy Reid"",""id"":731132367058968600,""id_str"":""731132367058968576"",""indices"":[3,13]}],""urls"":[]}"
147,9.88E+17,Daviejack1234,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 21:00:09,en,501,3507,486,"Florida, USA",7054,http://twitter.com/Daviejack1234/statuses/987783065626992640,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
148,9.88E+17,JohnstonDennise,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 21:00:03,en,728,5096,335,,10232,http://twitter.com/JohnstonDennise/statuses/987783041526517761,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
149,9.88E+17,unicornvomiter1,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 20:59:39,en,61,427,206,In the middle of a cloud ,894,http://twitter.com/unicornvomiter1/statuses/987782938225004546,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
150,9.88E+17,MzPhiOne,"RT @Molly3186: On May 29th, Starbucks will close it's doors for the day to train their staff on racial sensitivity.

More places should do this. Especially, police departments.

Why do we view anyone who doesn't look like us, as a threat or someone who is less than equal?

#racism #Starbucks",21/04/2018 20:59:33,en,2373,16611,2569,"Birmingham, AL",33262,http://twitter.com/MzPhiOne/statuses/987782913067544577,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""Molly3186"",""name"":""Molly __"",""id"":926863126317948900,""id_str"":""926863126317948933"",""indices"":[3,13]}],""urls"":[]}"
151,9.88E+17,haffey2016,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 20:59:30,en,2887,20209,4977,Some where in the US,40458,http://twitter.com/haffey2016/statuses/987782900568346624,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
152,9.88E+17,bocobuffs,"RT @techtionary: ""PassTracs is great
as I am on the go and 
don__ have time to type""
-- - just speak your #password great app for #banking #shopping #starbucks #facebook #twitter #instagram #college #school access
https://t.co/vgGYJZGH0w https://t.co/1wWZrdskb0",21/04/2018 20:59:23,en,6147,43029,5961,"Boulder, colorado",86098,,"{""hashtags"":[{""text"":""password"",""indices"":[106,115]},{""text"":""banking"",""indices"":[130,138]}],""symbols"":[],""user_mentions"":[{""screen_name"":""techtionary"",""name"":""CrossTalk"",""id"":21421481,""id_str"":""21421481"",""indices"":[3,15]}],""urls"":[]}"
153,9.88E+17,thatstraightguy,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 20:59:03,en,223,1561,278,MTL,3162,http://twitter.com/thatstraightguy/statuses/987782788836397056,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
