Movie_ID,movie_names,gross_value,imdb_ratings,metscores,movie_description,runtime,votes,certificate,certificate_id,year_release,year_id,Genre1,Genre2,Genre3,director_name,Director_id,star1,star2,star3,star4,star5,star6
20,Due Date,100539043,6.6,51,"High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.",95 min,291402,R,2,2010,1,Action, Adventure, Comedy            ,Todd Phillips,20,Todd Phillips, Robert Downey Jr., Zach Galifianakis, Michelle Monaghan,null,null
21,Tron,172062763,6.8,49,"The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.",125 min,283358,PG,4,2010,1,Action, Adventure, Sci-Fi            ,Joseph Kosinski,21,Joseph Kosinski, Jeff Bridges, Garrett Hedlund, Olivia Wilde,null,null
22,True Grit,171243005,7.6,80,"A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.",110 min,265913,PG-13,1,2010,1,Adventure, Drama, Western            ,Ethan Coen,22,Ethan Coen, Joel Coen, Jeff Bridges, Matt Damon, Hailee Steinfeld,null
23,Salt,118311368,6.4,65,"A CIA agent goes on the run after a defector accuses her of being a Russian spy.",100 min,264690,PG-13,1,2010,1,Action, Crime, Mystery            ,Phillip Noyce,23,Phillip Noyce, Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor,null,null
24,RED,90380162,7.1,60,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants.",111 min,259252,PG-13,1,2010,1,Action, Comedy, Crime            ,Robert Schwentke,24,Robert Schwentke, Bruce Willis, Helen Mirren, Morgan Freeman,null,null
25,The Book of Eli,94835059,6.9,53,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",118 min,252818,R,2,2010,1,Action, Adventure, Drama            ,Albert Hughes,25,Albert Hughes, Allen Hughes, Denzel Washington, Mila Kunis, Ray Stevenson,null
26,Clash of the Titans,163214888,5.8,39,"Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.",106 min,245823,PG-13,1,2010,1,Action, Adventure, Fantasy            ,Louis Leterrier,26,Louis Leterrier, Sam Worthington, Liam Neeson, Ralph Fiennes,null,null
27,Prince of Persia: The Sands of Time,90759676,6.6,50,"A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.",116 min,242323,PG-13,1,2010,1,Action, Adventure, Fantasy            ,Mike Newell,27,Mike Newell, Jake Gyllenhaal, Gemma Arterton, Ben Kingsley,null,null
28,Insidious,54009150,6.8,52,"A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.",103 min,234174,PG-13,1,2010,1,Horror, Mystery, Thriller            ,James Wan,28,James Wan, Patrick Wilson, Rose Byrne, Ty Simpkins,null,null
29,Robin Hood,105269730,6.7,53,"In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",140 min,228779,PG-13,1,2010,1,Action, Adventure, Drama            ,Ridley Scott,29,Ridley Scott, Russell Crowe, Cate Blanchett, Matthew Macfadyen,null,null
