id,created_at,hashtags,game
162,2018-04-17 03:43:53,Supportsmallstreams,Dota 2
162,2018-04-17 03:43:53,twitch,Dota 2
162,2018-04-17 03:43:53,streamer,Dota 2
162,2018-04-17 03:43:53,dota2,Dota 2
163,2018-04-17 03:16:53,dota,Dota 2
163,2018-04-17 03:16:53,Supportsmallstreams,Dota 2
163,2018-04-17 03:16:53,twitch,Dota 2
163,2018-04-17 03:16:53,streamer,Dota 2
164,2018-04-16 20:43:58,Dota,Dota 2
164,2018-04-16 20:43:58,Steam,Dota 2
165,2018-04-16 20:43:51,DOTA,Dota 2
166,2018-04-16 20:02:19,DOTA,Dota 2
167,2018-04-16 20:00:03,Dota,Dota 2
167,2018-04-16 20:00:03,Steam,Dota 2
168,2018-04-16 19:43:50,DOTA,Dota 2
169,2018-04-16 19:17:05,DOTA,Dota 2
170,2018-04-16 18:43:58,FelizLunes,Dota 2
170,2018-04-16 18:43:58,SteamCards,Dota 2
171,2018-04-16 18:43:56,DOTA,Dota 2
172,2018-04-16 18:43:50,DOTA,Dota 2
173,2018-04-16 18:43:43,Dota,Dota 2
174,2018-04-16 18:42:38,Dota,Dota 2
175,2018-04-16 18:21:35,DOTA,Dota 2
176,2018-04-16 18:21:35,DOTA,Dota 2
177,2018-04-16 18:11:07,FelizLunes,Dota 2
177,2018-04-16 18:11:07,SteamCards,Dota 2
178,2018-04-16 16:43:49,Dota,Dota 2
181,2018-04-16 16:17:07,Dota,Dota 2
182,2018-04-16 16:11:19,DOTA,Dota 2
183,2018-04-16 15:44:08,dota,Dota 2
183,2018-04-16 15:44:08,gameplay,Dota 2
183,2018-04-16 15:44:08,multiplayer,Dota 2
184,2018-04-16 15:43:51,DOTA,Dota 2
185,2018-04-16 15:36:22,DOTA,Dota 2
186,2018-04-16 15:19:43,dota,Dota 2
186,2018-04-16 15:19:43,gameplay,Dota 2
186,2018-04-16 15:19:43,multiplayer,Dota 2
187,2018-04-16 15:15:21,dota,Dota 2
187,2018-04-16 15:15:21,gameplay,Dota 2
187,2018-04-16 15:15:21,multiplayer,Dota 2
188,2018-04-16 13:50:13,Dota,Dota 2
189,2018-04-16 12:43:53,DOTA,Dota 2
190,2018-04-16 12:06:41,DOTA,Dota 2
191,2018-04-16 09:43:55,Dota,Dota 2
191,2018-04-16 09:43:55,Steam,Dota 2
192,2018-04-16 09:30:03,Dota,Dota 2
192,2018-04-16 09:30:03,Steam,Dota 2
193,2018-04-16 08:43:44,DOTA,Dota 2
194,2018-04-16 08:36:15,DOTA,Dota 2
195,2018-04-16 07:37:20,dota,Dota 2
195,2018-04-16 07:37:20,dota2,Dota 2
195,2018-04-16 07:37:20,dota2turkiye,Dota 2
195,2018-04-16 07:37:20,turkdotasi,Dota 2
196,2018-04-16 06:43:46,Dota,Dota 2
196,2018-04-16 06:43:46,Steam,Dota 2
197,2018-04-16 06:00:25,Dota,Dota 2
197,2018-04-16 06:00:25,Steam,Dota 2
198,2018-04-16 02:43:44,DOTA,Dota 2
