id,created_at,tweets,user_id,user_location,retweet_count,Urls,Media,game
200,2018-04-16 00:43:46,RT @DOTA_streams: #DOTA draskyl just went live on Twitch https://t.co/10dQiOK0uA,271312993,Negeri sembilan,1,"[{'url': 'https://t.co/10dQiOK0uA', 'expanded_url': 'http://bit.ly/dota-streams', 'display_url': 'bit.ly/dota-streams', 'indices': [57, 80]}]",,Dota 2
201,2018-04-15 23:51:11,#DOTA draskyl just went live on Twitch https://t.co/10dQiOK0uA,724904194445074432,,1,"[{'url': 'https://t.co/10dQiOK0uA', 'expanded_url': 'http://bit.ly/dota-streams', 'display_url': 'bit.ly/dota-streams', 'indices': [39, 62]}]",,Dota 2
202,2018-04-15 23:43:53,"RT @RankingBall: Ranking Ball has been in open beta tests for the last four years during sports events in leagues like #MLB, #EPL, and #NBA…",271312993,Negeri sembilan,104,[],,Dota 2
202,2018-04-15 23:43:53,"RT @RankingBall: Ranking Ball has been in open beta tests for the last four years during sports events in leagues like #MLB, #EPL, and #NBA…",271312993,Negeri sembilan,104,[],,Dota 2
202,2018-04-15 23:43:53,"RT @RankingBall: Ranking Ball has been in open beta tests for the last four years during sports events in leagues like #MLB, #EPL, and #NBA…",271312993,Negeri sembilan,104,[],,Dota 2
203,2018-04-15 23:43:44,"RT @jonisri1: Ranking Ball has been in open beta tests for the last four years during sports events in leagues like #MLB, #EPL, and #NBA. A…",271312993,Negeri sembilan,1,[],,Dota 2
203,2018-04-15 23:43:44,"RT @jonisri1: Ranking Ball has been in open beta tests for the last four years during sports events in leagues like #MLB, #EPL, and #NBA. A…",271312993,Negeri sembilan,1,[],,Dota 2
203,2018-04-15 23:43:44,"RT @jonisri1: Ranking Ball has been in open beta tests for the last four years during sports events in leagues like #MLB, #EPL, and #NBA. A…",271312993,Negeri sembilan,1,[],,Dota 2
204,2018-04-15 23:30:10,"Ranking Ball has been in open beta tests for the last four years during sports events in leagues like #MLB, #EPL, a… https://t.co/dK4s1rGq8p",954976355661242370,Bekasi,1,"[{'url': 'https://t.co/dK4s1rGq8p', 'expanded_url': 'https://twitter.com/i/web/status/985661591151497218', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]",,Dota 2
204,2018-04-15 23:30:10,"Ranking Ball has been in open beta tests for the last four years during sports events in leagues like #MLB, #EPL, a… https://t.co/dK4s1rGq8p",954976355661242370,Bekasi,1,"[{'url': 'https://t.co/dK4s1rGq8p', 'expanded_url': 'https://twitter.com/i/web/status/985661591151497218', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]",,Dota 2
205,2018-04-15 23:29:50,"RT @RankingBall: Ranking Ball has been in open beta tests for the last four years during sports events in leagues like #MLB, #EPL, and #NBA…",954976355661242370,Bekasi,104,[],,Dota 2
205,2018-04-15 23:29:50,"RT @RankingBall: Ranking Ball has been in open beta tests for the last four years during sports events in leagues like #MLB, #EPL, and #NBA…",954976355661242370,Bekasi,104,[],,Dota 2
205,2018-04-15 23:29:50,"RT @RankingBall: Ranking Ball has been in open beta tests for the last four years during sports events in leagues like #MLB, #EPL, and #NBA…",954976355661242370,Bekasi,104,[],,Dota 2
206,2018-04-15 20:43:44,RT @DOTA_streams: #DOTA followkudes just went live on Twitch https://t.co/10dQiOK0uA,271312993,Negeri sembilan,1,"[{'url': 'https://t.co/10dQiOK0uA', 'expanded_url': 'http://bit.ly/dota-streams', 'display_url': 'bit.ly/dota-streams', 'indices': [61, 84]}]",,Dota 2
