tweet_id,create_at,tweet_text,favorite_count,retweet_count,tags
9.89514E+17,2018/4/26 14:38,"b'Estamos jugando tan mal, que la gente se entretiene pele\xc3\xa1ndose con otra por opiniones acertadas o no respecto a los\xe2\x80\xa6 https://t.co/lOVtCNoBGz'",7,1,[]
9.89318E+17,2018/4/26 1:39,b'@ArtvroJames Te lo mereces mi hermano.....',1,0,[]
9.89318E+17,2018/4/26 1:39,b'RT @ArtvroJames: Sales dos d\xc3\xadas de viaje por trabajo y tus hijos te organizan una fiesta de bienvenida. Lo m\xc3\xa1ximo!!!! https://t.co/Tw6VeKA8\xe2\x80\xa6',0,1,[]
9.89315E+17,2018/4/26 1:25,b'@fernandezjosec @cokigonzales La liga alemana dej\xc3\xb3 de ser competitiva desde que Bayern compra los mejores jugadores\xe2\x80\xa6 https://t.co/GsbNKDUQTP',0,0,[]
9.89269E+17,2018/4/25 22:23,"b'No esperemos nada de las autoridades, el cambio est\xc3\xa1 en cada uno de nosotros, a partir de all\xc3\xad la sociedad ser\xc3\xa1 mejor.'",1,0,[]
9.89268E+17,2018/4/25 22:21,"b'La generacion de los 90 y parte del 2000 est\xc3\xa1 perdida y q decir de los m\xc3\xa1s viejos, trabajemos con los chicos desde\xe2\x80\xa6 https://t.co/A7Z9klQUEY'",6,4,[]
9.8922E+17,2018/4/25 19:09,b'@rppdeportes Y',0,0,[]
9.89219E+17,2018/4/25 19:06,b'Lo q le responden a este tipo es alucinante. https://t.co/eJzYQgUgpf',1,0,[]
9.88959E+17,2018/4/25 1:52,b'@ErickOsores espero la invites y le pregunten todo sobre su norma y reglamento y le muestren todos los abusos polic\xe2\x80\xa6 https://t.co/J8MSqtjQXe',0,0,[]
9.88951E+17,2018/4/25 1:22,b'RT @jcruzalegui: Pronunciamiento de distintos Partidos Pol\xc3\xadticos respecto de la intenci\xc3\xb3n del Ministerio P\xc3\xbablico de suspender la inscripci\xc3\xb3\xe2\x80\xa6',0,1,[]
9.88908E+17,2018/4/24 22:28,b'RT @YIRKOSIVIRICH: Janeth (la hija de Mechita) empieza a estudiar dise\xc3\xb1o de moda \xf0\x9f\x98\x8d\nMUCHAS GRACIAS @institutoceam por la beca integral. http\xe2\x80\xa6',0,78,[]
9.88887E+17,2018/4/24 21:05,"b'Klopp es un tipo que prefiere entrenar equipos con problemas,  potencia jugadores q no son mega estrellas y defiend\xe2\x80\xa6 https://t.co/Q2rYtquLtB'",3,0,[]
9.88878E+17,2018/4/24 20:29,b'Acaba lo!!!!!!! Jajajaja',0,0,[]
9.88877E+17,2018/4/24 20:27,b'Larga vida al Liverpool',0,0,[]
9.88876E+17,2018/4/24 20:22,b'RT @askomartin: Y se habia ido Coutinho...nadie es indispensable.',0,165,[]
9.88867E+17,2018/4/24 19:48,"b'RT @1Solo_Miguel: MALDITO C\xc3\x81NCER. Quiz\xc3\xa1s algunos quieren una nueva casa, un nuevo coche, un nuevo m\xc3\xb3vil etc. Pero hay alguien que solo quie\xe2\x80\xa6'",0,68786,[]
9.88822E+17,2018/4/24 16:48,b'Como no hay plata solo queda llorar a donde van... https://t.co/7hrnbcJ88m',4,1,[]
9.88814E+17,2018/4/24 16:15,b'@LABANDADEL86 @aletss Para mi si encaja f\xc3\xa1cil.',0,0,[]
9.88811E+17,2018/4/24 16:03,"b'@LABANDADEL86 @aletss Traelo, si me lo a a cesarolo tambi\xc3\xa9n lo pongo. No estamos para desechar nada.'",0,0,[]
9.88604E+17,2018/4/24 2:22,"b'RT @Alonbalonn: \xf0\x9f\x93\x9d Cita semanal\n\xe2\x9e\xa1\xef\xb8\x8f \xe2\x80\x9cNo juego para ganar balones de oro, juego para ser feliz\xe2\x80\x9d\n\xf0\x9f\x91\x89 Andres Iniesta https://t.co/DeZmiEKNXH'",0,42,[]
9.88551E+17,2018/4/23 22:50,b'RT @EdgarVillamarin: \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf \xf0\x9f\x98\x82 https://t.co/YRb11QJycS',0,48,[]
9.88533E+17,2018/4/23 21:40,"b'RT @ForoAliancista: El estadio de Matvte es un templo y la gente una familia\n\nNo matemos el espect\xc3\xa1culo, cuida a los asistentes...\n\nALIANZA\xe2\x80\xa6'",0,17,[]
9.88427E+17,2018/4/23 14:40,b'RT @LABANDADEL86: Sepan entender y retuiteen. https://t.co/qqZ3kqsu4g',0,48,[]
9.88236E+17,2018/4/23 1:59,"b'@EddaBellina Que bueno Carlitos, a pesar q le han quitado el pan con pollo. Felicita lo de mi parte.'",1,0,[]
9.88236E+17,2018/4/23 1:58,"b'@juanchocl Que lindis, debe haber estado feliz el abuelito wachon'",3,0,[]
9.88216E+17,2018/4/23 0:39,"b'@RenzoTapia Si no grababa pasabas r\xc3\xa1pido, como estabas grabando pasaste todas las pruebas de la carrera de obst\xc3\xa1cul\xe2\x80\xa6 https://t.co/Ggr4GMj246'",0,0,[]
9.88191E+17,2018/4/22 22:59,"b'Del equipo no voy a hablar, Bengoechea y los jugadores deben darle vuelta a la situaci\xc3\xb3n. Solo quiero agradecer a t\xe2\x80\xa6 https://t.co/8XtxIxvdiH'",14,3,[]
9.88187E+17,2018/4/22 22:43,"b'@EddaBellina Respira, un pan con pollo y cuenta hasta tres.'",0,0,[]
9.88186E+17,2018/4/22 22:41,"b'@EddaBellina Jajaja, no reniegues por ese inexistente, le das la importancia q no merece'",0,0,[]
9.87955E+17,2018/4/22 7:23,b'RT @benito20101: Que rica amistad https://t.co/h7oaIiVzuL',0,1,[]
9.87835E+17,2018/4/21 23:28,"b'RT @esttoper: Y en la era del narcisismo exagerado y vac\xc3\xado, agradecimiento eterno a Iniesta por que pasara de disfraces y eligiera diferenc\xe2\x80\xa6'",0,192,[]
9.87834E+17,2018/4/21 23:22,"b'Talves al \xc3\xbanico jugador al que le pedir\xc3\xada una foto es a Andr\xc3\xa9s Iniesta, para mi el mejor del mundo.'",2,1,[]
9.87834E+17,2018/4/21 23:21,"b'RT @Juezcentral: Puro f\xc3\xbatbol. Puro amor. Puro sentimiento. Lionel y todos nosotros te extra\xc3\xb1aremos, Don Andr\xc3\xa9s. https://t.co/FGGvJDtVMj'",0,4330,[]
9.87833E+17,2018/4/21 23:19,"b'Ronaldo y Messi pueden ser extraordinarios y hacer los goles q les da la gana, pero Andr\xc3\xa9s Iniesta es el puto amo d\xe2\x80\xa6 https://t.co/E1tCS49i0j'",9,2,[]
9.87831E+17,2018/4/21 23:09,"b'@ChristianZuzuna Se est\xc3\xa1 pareciendo, hacemos la misma dieta jajajaja'",0,0,[]
9.87829E+17,2018/4/21 23:04,"b'Mi Maya es una guerrera carajo, todo salio bien y ac\xc3\xa1 esta recuper\xc3\xa1ndose. https://t.co/oozgj53Riz'",8,0,[]
9.87702E+17,2018/4/21 14:36,b'@elgatoLA20 Gracias gatito abrazo',0,0,[]
9.877E+17,2018/4/21 14:30,"b'Algo se perdi\xc3\xb3 en el camino, recuerdo cuando se llenaba matute a pesar q sab\xc3\xadamos q perd\xc3\xadamos. A mi me ense\xc3\xb1aron q\xe2\x80\xa6 https://t.co/WJJUlP3wqK'",57,9,[]
9.87699E+17,2018/4/21 14:25,b'@LABANDADEL86 @juanchocl Pensamos igual....',0,0,[]
9.87697E+17,2018/4/21 14:18,b'RT @WSCsupporters: Basketball: Panathinaikos - Real Madrid 18.04.2018. #gate13 https://t.co/KnHWiBr93V',0,66,"[{'text': 'gate13', 'indices': [71, 78]}]"
9.87689E+17,2018/4/21 13:47,b'Al principio fue veremos q pasa y hoy es alguien muy importante en mi vida. Hoy operan a mi Maya y tengo el coraz\xc3\xb3n\xe2\x80\xa6 https://t.co/Ojgg3efQL7',5,0,[]
9.87565E+17,2018/4/21 5:34,"b'Hoy toco ver a mis hermanos de toda la vida, cualquier motivo es bueno para volver a ser chibolos. https://t.co/iOzQ7MFlDP'",2,0,[]
9.87506E+17,2018/4/21 1:38,b'@mili_custur Gracias por la informaci\xc3\xb3n',1,0,[]
9.87504E+17,2018/4/21 1:32,b'Alguien me puede explicar el chongo del feto ingeniero?',1,0,[]
9.87503E+17,2018/4/21 1:29,b'@benito20101 Cada d\xc3\xada m\xc3\xa1s linda un besote a mi ahijada',1,0,[]
9.87454E+17,2018/4/20 22:12,"b'@lvissspe De locos es decirle estafador o que no trabaja, culpa de que el equipo no juegue a nada es del DT, no hay otro culpable.'",4,0,[]
9.87453E+17,2018/4/20 22:09,b'RT @Edu_Sobrino: No es que no se pueda criticar a Bengoechea ;como todo DT debe ser criticado si su equipo va mal. Lo q no comparto es pedi\xe2\x80\xa6',0,26,[]
9.87426E+17,2018/4/20 20:21,b'@Metalgrone As\xc3\xad m\xc3\xa1s o menos https://t.co/2qo7VfeOgL',0,0,[]
9.87408E+17,2018/4/20 19:09,b'RT @HDPueblo: Prohibido \xf0\x9f\x9a\xab olvidar! https://t.co/AxClUVNLOh',0,20,[]
9.87313E+17,2018/4/20 12:51,"b'@LABANDADEL86 Y la hinchada tambi\xc3\xa9n q aparte de dar un espect\xc3\xa1culo lamentable, abandonaron al equipo.'",2,0,[]
9.87302E+17,2018/4/20 12:06,"b'He visto muchos t\xc3\xa9cnicos, dirigentes y jugadores ir y venir y nunca respalde a ninguno. Mi respaldo a muerte es a m\xe2\x80\xa6 https://t.co/Zu1zhCiUZo'",33,5,[]
9.87164E+17,2018/4/20 3:00,"b'La soluci\xc3\xb3n no es q se vaya PB, no creo q haya DT q pueda hacer m\xc3\xa1s con plantel q conformo. Solo queda q trabaje m\xc3\xa1\xe2\x80\xa6 https://t.co/sG5eMeaXQO'",1,1,[]
9.87158E+17,2018/4/20 2:35,b'@garyale29 Gary despu\xc3\xa9s del partido con Cristal dijo q el. Pidi\xc3\xb3 y aval\xc3\xb3 contrataci\xc3\xb3n de jugadores. Es responsable\xe2\x80\xa6 https://t.co/343CoUZn77',1,0,[]
9.87157E+17,2018/4/20 2:33,"b'A pasar la p\xc3\xa1gina y seguir acompa\xc3\xb1ando, Al\xc3\xadanza es m\xc3\xa1s grande q los jugadores, t\xc3\xa9cnico y dirigentes.'",8,0,[]
9.87157E+17,2018/4/20 2:31,b'@malejandroiam @Alexandermanuel @crandich Sin salirte del presupuesto puedes buscar mejor. Perdiste gol y pelota pa\xe2\x80\xa6 https://t.co/2Lt0I9y4lr',0,0,[]
9.87155E+17,2018/4/20 2:24,"b'@crandich @Alexandermanuel PB es responsable del plantel q armo, y los jugadores q trajo y aval\xc3\xb3. No se pretenda cu\xe2\x80\xa6 https://t.co/eNeoJ47ABF'",0,1,[]
9.87154E+17,2018/4/20 2:21,"b'Porque no se calman, si en el torneo nacional juegas p\xc3\xa9simo no esperes hacerlo mejor en copa. Culpables son Bengoec\xe2\x80\xa6 https://t.co/jGl3vLZt81'",5,3,[]
9.87148E+17,2018/4/20 1:57,"b'@garyale29 Yo no, deber\xc3\xada hacer algo para mejorar y no solo molestarse. El es responsable de lo q estamos viendo'",0,0,[]
9.87148E+17,2018/4/20 1:55,"b'@JJNL21 Joey no es un mal partido de Al\xc3\xadanza, en lo q va del a\xc3\xb1o la mayor\xc3\xada son malos. Estamos jugando como siempre.'",2,0,[]
9.87134E+17,2018/4/20 0:59,"b'@JJNL21 Por mi puede decir lo q quiera, lo que no me parece \xc3\xa9tico q un DT critique el trabajo de otro dt'",1,0,[]
9.86773E+17,2018/4/19 1:08,b'Cuando la flaca se saca la taba y su  media est\xc3\xa1 con hueco https://t.co/VXLv6B3v97',11,0,[]
9.86603E+17,2018/4/18 13:49,b'@La_Banda_del_CS @ComandoSvr1986 Ojal\xc3\xa1 la puedan cantar como se debe y no correr q nadie los persigue. Bueno el esfuerzo.',2,0,[]
9.86315E+17,2018/4/17 18:47,b'RT @Edu_Sobrino: Se perdi\xc3\xb3 con un equipo alterno y en altura. Partido para reafirmar que esos que jugaron hoy son los suplentes. Lemos ni V\xe2\x80\xa6',0,11,[]
9.86307E+17,2018/4/17 18:16,b'@LauraBurgosC Coincido',0,0,[]
9.863E+17,2018/4/17 17:47,b'@elgatoLA20 @LABANDADEL86 @nocomerciable Yo creo q por m\xc3\xa1s q estemos hasta las huevas el mensaje debe ser de dejarl\xe2\x80\xa6 https://t.co/BDZM3phnAu',1,0,[]
9.86239E+17,2018/4/17 13:45,b'Amigos aliancistas hacer h\xc3\xadgado por la prensa deportiva es en vano. Mayoritariamente son de la vereda del frente y\xe2\x80\xa6 https://t.co/YYLO5EAibF',16,0,[]
9.86026E+17,2018/4/16 23:36,"b'@LABANDADEL86 Ojal\xc3\xa1 pueda llegar, el mismo d\xc3\xada se ver\xc3\xa1, abrazo'",1,0,[]
9.86025E+17,2018/4/16 23:33,"b'@LABANDADEL86 Si, no llego, chamba es chamba'",0,0,[]
9.86022E+17,2018/4/16 23:21,b'RT @SilvanaVanita94: No hay excusas. Sin individualidades Alianza no puede hacer m\xc3\xa1s. Eso de que \xe2\x80\x9cel a\xc3\xb1o pasado pasamos lo mismo y campeona\xe2\x80\xa6',0,13,[]
9.85961E+17,2018/4/16 19:18,"b'Tiene toda la raz\xc3\xb3n, las verdades no deben joder. https://t.co/qU6O3WGS6W'",3,0,[]
9.85953E+17,2018/4/16 18:49,b'Con que cara luego reclaman que regresen los instrumentos y las banderas. Vean el video se explica por si solo. https://t.co/AYgbiONGso',4,2,[]
9.85947E+17,2018/4/16 18:25,b'@fiestadealianza https://t.co/9VI2thVRP2',0,0,[]
9.85855E+17,2018/4/16 12:17,b'RT @elblogintimoEBI: \xc2\xa1No hay cuadro m\xc3\xa1s popular!\n#ArribaAlianza https://t.co/WZkCRFzdwv',0,11,"[{'text': 'ArribaAlianza', 'indices': [49, 63]}]"
9.85855E+17,2018/4/16 12:17,"b'RT @Alecolli1: Con mis impresoras 3d estoy fabricando protesis para perros. \nSON TOTALMENTE GRATIS, espero que me puedan ayudar a difundir!\xe2\x80\xa6'",0,98206,[]
9.85695E+17,2018/4/16 1:41,b'RT @Juezcentral: GESTAZO. La Directiva del Monaco anunci\xc3\xb3 que devolver\xc3\xa1 el dinero de las entradas a los hinchas del club que viajaron a Par\xe2\x80\xa6',0,3081,[]
9.85655E+17,2018/4/15 23:03,b'RT @ZamaanMagician: MAN UNITED SEASON SUMMED UP \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/6EXo66uOdS',0,3602,[]
9.85655E+17,2018/4/15 23:02,b'RT @18andrecarrillo: Rumo ao Penta \xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f https://t.co/iH1nCxmK3O',0,1302,[]
9.85653E+17,2018/4/15 22:56,"b'@LaCarlangas_ch @garyale29 30 mil d\xc3\xb3lares al mes dicen, de lejos fuera del alcance de Al\xc3\xadanza. Un excelente 9'",1,1,[]
9.85175E+17,2018/4/14 15:15,b'RT @Juezcentral: La nueva camiseta del Chapecoense en honor a Colombia. Dame 10 @UmbroColombia https://t.co/7qcsp84OU3',0,1557,[]
9.8475E+17,2018/4/13 11:06,"b'@COHELLOC @pilarhigashi Muy bien dicho Jorge,  acabemos de una vez con este generalizaci\xc3\xb3n, es como decir que todos\xe2\x80\xa6 https://t.co/73F27zHbJk'",7,0,[]
9.84501E+17,2018/4/12 18:37,b'@MiguelChirinosx @pepesoto33 Bien resumido K\xc3\xa1iser.',2,0,[]
9.8449E+17,2018/4/12 17:54,"b'@aletss Di donde las encontraste por favor, eso es lo m\xc3\xa1s anecdotico.'",1,0,[]
9.84435E+17,2018/4/12 14:16,"b'Primero agradecer a los que fueron a la cancha, reconforta saber que los resultados no condicionan el sentimiento.\xe2\x80\xa6 https://t.co/6c2lJ2TrSq'",25,2,[]
9.84434E+17,2018/4/12 14:13,b'@afanarraga1980 https://t.co/l9AyF4q9J0',1,0,[]
9.84404E+17,2018/4/12 12:14,b'@afanarraga1980 @lizmartinez14_ Es algo que deber\xc3\xada ser habitual.',1,0,[]
9.84285E+17,2018/4/12 4:18,b'@COHELLOC @chichotam Un fan enamorado \xf0\x9f\x92\x98',2,0,[]
9.84281E+17,2018/4/12 4:03,b'@EddaBellina Edda Bellina Burga Leyes',2,0,[]
9.84281E+17,2018/4/12 4:02,b'@EddaBellina La dieta',1,0,[]
9.84214E+17,2018/4/11 23:39,b'@Fragra44 Para mi no fue',0,0,[]
9.84169E+17,2018/4/11 20:40,b'Robad Madrid',1,0,[]
9.84134E+17,2018/4/11 18:20,b'@JJNL21 @ADiezGol Te admiro como puedes escuchar a ese animador de eventos deportivos.',0,0,[]
9.84055E+17,2018/4/11 13:06,"b'Buenos d\xc3\xadas a todos, hoy no es un d\xc3\xada para renegar, maldecir las cosas que andan mal en el club. Todo queda de lado\xe2\x80\xa6 https://t.co/vQWxCgOI91'",12,3,[]
9.83839E+17,2018/4/10 22:48,"b'A todos los que les interese, incentiven a sus hijos, sobrinos, nietos, vecinos. No es academia, es la escuela base\xe2\x80\xa6 https://t.co/NHTOypHe9n'",2,8,[]
9.83806E+17,2018/4/10 20:36,b'RT @LFCEspanol: \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\n https://t.co/JqYGPPNUWd',0,182,[]
9.8351E+17,2018/4/10 1:01,"b'@EddaBellina Posible soluci\xc3\xb3n, hay q ver alternativas https://t.co/vEcA1mAtoJ'",2,0,[]
9.83482E+17,2018/4/9 23:09,"b'RT @AyudaMaestros: Mirad el recibimiento que hizo el colegio cacere\xc3\xb1o de Santa Cecilia a su alumno Guillermo, con S\xc3\xadndrome de Down. Le reci\xe2\x80\xa6'",0,16036,[]
9.83405E+17,2018/4/9 18:04,b'@aletss Toda la raz\xc3\xb3n negro hay cada discusi\xc3\xb3n para cojuda.....',2,0,[]
9.83379E+17,2018/4/9 16:19,"b'El amor es incondicional, cuando decid\xc3\xad seguirte lo hice porque te quiero y no te pido nada xq ya me lo diste todo,\xe2\x80\xa6 https://t.co/RuVxPjW6KZ'",11,5,[]
