ID,Artist,User_ID,User_Name,Text,Created_Time,Favorites,Retweets,Followers,Friends,Location,Tags
611,Black Sabbath,User_ID: 762013614773407744,User_Name: BVFAramon,Text: RT @seeplaneearth: So many band names with a biblical theme/undertone. Why? If it's all smoke and no fire why bother themselves with it? #f…,4/2/2018 22:34,0,4,629,Friends: 478,"Location: Flat Earth, USA",Tags: #f…
612,Black Sabbath,User_ID: 723191297301860352,User_Name: Flat Earth City,Text: RT @seeplaneearth: So many band names with a biblical theme/undertone. Why? If it's all smoke and no fire why bother themselves with it? #f…,4/2/2018 22:24,0,4,8580,Friends: 2578,Location: ,Tags: #f…
613,Black Sabbath,User_ID: 3098135468,User_Name: GuiltyasSinn,Text: RT @seeplaneearth: So many band names with a biblical theme/undertone. Why? If it's all smoke and no fire why bother themselves with it? #f…,4/2/2018 22:01,0,4,3676,Friends: 5000,Location: United States,Tags: #f…
614,Black Sabbath,User_ID: 723955040638005248,User_Name: Pickett,"Text: EVH and Iommi (at the Hollywood Bowl on Black Sabbath's last gig, actually).  The amount of tone and riffage repres… https://t.co/JBsDlw57WN",4/2/2018 22:00,2,0,2043,Friends: 2163,"Location: Colville, WA",Tags:
615,Black Sabbath,User_ID: 881462632179433472,User_Name: Ms Flat Earth,Text: So many band names with a biblical theme/undertone. Why? If it's all smoke and no fire why bother themselves with i… https://t.co/Wre8OCK3E9,4/2/2018 21:59,9,4,888,Friends: 316,Location: Flat Earth.,Tags:
616,Black Sabbath,User_ID: 971876479385550848,User_Name: The Band Tee Shop #EBAYSTORE,"Text: RT @TheBandTeeShop: https://t.co/65BLcVbn8n &lt;-------- We just added 30 new items to our Ebay shop! 80/90’s vintage sport and band tees, Coo…",4/2/2018 21:56,0,3,326,Friends: 333,"Location: Toronto, Ontario",Tags:$30
617,Black Sabbath,User_ID: 971876479385550848,User_Name: The Band Tee Shop #EBAYSTORE,"Text: https://t.co/65BLcVbn8n &lt;-------- We just added 30 new items to our Ebay shop! 80/90’s vintage sport and band tees,… https://t.co/7y13f5vq0a",4/2/2018 21:54,8,3,326,Friends: 333,"Location: Toronto, Ontario",Tags:$30
618,Black Sabbath,User_ID: 608530301,User_Name: Matteo Daminelli,Text: Stasera grandi classici #blacksabbath #HeavyMetal Black Sabbath - Fairies wear boots https://t.co/QX1dK5Qokb via @YouTube,4/2/2018 21:09,0,0,129,Friends: 276,Location: Levate (Bergamo),Tags: #blacksabbath #HeavyMetal
619,Black Sabbath,User_ID: 2788981648,User_Name: The St Louis Fear,Text: Bit of sabbath post mealtime. #blacksabbath #betterthangaviscon @ Leeds https://t.co/8lRp74b4s2,4/2/2018 21:05,0,0,42,Friends: 263,Location: Leeds,Tags: #blacksabbath #betterthangaviscon
620,Black Sabbath,User_ID: 882300164790202369,User_Name: Dave The Merciless,Text: #Boston #BlackSabbath #VanHalen #SammyHagar https://t.co/hvXz4KL18z,4/2/2018 19:54,1,0,502,Friends: 2478,"Location: Spook City, U.S.A. ",Tags: #Boston #BlackSabbath #VanHalen #SammyHagar
621,Black Sabbath,User_ID: 131457854,User_Name: JOAN D' ARC,Text: Teach me something in life that I cant find. #blacksabbath,4/2/2018 19:42,0,0,1412,Friends: 901,Location: Ig : athirahmokhrus ,Tags: #blacksabbath
622,Black Sabbath,User_ID: 61821914,User_Name: Salsacumbiando,Text: War Pigs - #BlackSabbath https://t.co/Iy9s9VZrpB,4/2/2018 18:15,1,0,1601,Friends: 2478,Location: nostromo,Tags: #BlackSabbath
623,Black Sabbath,User_ID: 827527279819554816,User_Name: André- C. Floydstock,Text: Confira o excelente line-up da edição 2018 do festival Graspop Metal Meeting @GraspopMetal https://t.co/EWn6TC8sUe… https://t.co/Oeb2cV9aNe,4/2/2018 17:50,0,0,83,Friends: 159,Location: Campo Grande - MS,"Tags:$2,018"
624,Black Sabbath,User_ID: 302960526,User_Name: SanRock.cl,"Text: Chileno es el nuevo baterista de Glenn Hughes, ex #DeepPurple y #BlackSabbath. Conoce más sobre su historia en… https://t.co/o0VMqTBvpN",4/2/2018 17:45,0,0,1455,Friends: 502,Location: Chile,Tags: #DeepPurple #BlackSabbath.
625,Black Sabbath,User_ID: 2344328377,User_Name: marcio t verolesi,Text: RT @Whiplash_Net: #StevenAdler: tocando #IronMaiden e #BlackSabbath em vídeo https://t.co/0jz7qjZ5t1 https://t.co/I1IlP9yMZQ,4/2/2018 16:52,0,3,3502,Friends: 4997,Location: São Paulo,Tags: #StevenAdler: #IronMaiden #BlackSabbath
626,Black Sabbath,User_ID: 28278145,User_Name: Whiplash.Net,Text: #StevenAdler: tocando #IronMaiden e #BlackSabbath em vídeo https://t.co/0jz7qjZ5t1 https://t.co/I1IlP9yMZQ,4/2/2018 16:48,14,3,73374,Friends: 101,Location: Brasil,Tags: #StevenAdler: #IronMaiden #BlackSabbath
627,Black Sabbath,User_ID: 112183903,User_Name: Piyoko（藤井）,Text: RT @black5030: #NowPlaying▶️“Rat Salad“ from「Paranoid」/#BlackSabbath サバス版Moby Dick！ 素人なんで技術的に上手い下手は分からんがビルはヤッパリ、クール👍 それではみなさん、お休みなさい🌛 https…,4/2/2018 16:43,0,2,1272,Friends: 1273,Location: 千葉県,Tags: #NowPlaying▶️“Rat
