"29","989373626049843200","fearlestenacity","26/4/2018 05:20:28","721","Snipe, Shotty for the win! Follow @ https://t.co/T5XJvhOm4k  #fortnite #fortnitetoday #fortnitekills… https://t.co/Vj4sm9bFII","168"
"30","989373632190152704","FNG_BLUE23","26/4/2018 05:20:30","6917","RT @AdvanzeedGear: Fast #Fortnite bundle giveaway

Retweet this

follow @NoenNHR 

rt his pinned (we will check)

winner in 30 min https://…","1609"
"31","989373651211440128","Megz0606","26/4/2018 05:20:34","12592","RT @og_yelloww: My first fortnite painting ","2928"
"32","989373654063607809","yhuji41","26/4/2018 05:20:35","728","RT @FortniteBTR: Dark Vanguard &amp; Deep Space Lander Giveaway!

Just Retweet This &amp; Follow Me + @InnovateGG To Win✅

Winner Soon","169"
"33","989373664914063360","Born_Reborn","26/4/2018 05:20:38","1680","@Skettybag Fortnite Squad Live Stream
#fortnite
https://t.co/0CDIVt0rrE","391"
"34","989373690000232449","Jessica_Lee_79","26/4/2018 05:20:44","3580","RT @HUL0NG: Y'all too much!!! ♥️","833"
"35","989373701102678016","Okami_Way","26/4/2018 05:20:46","483","RT @SypherPK: This shoudn't even be allowed. ","112"
"36","989373704059719680","DodocrazyYT","26/4/2018 05:20:47","25","RT @FNBRCentral: ","6"
"37","989373716093112322","BR0WNCOW","26/4/2018 05:20:50","170","RT @das_yacob: Live playing #Fortnite! Come hang out :) https://t.co/BcR8OK9UHf     
@TwitchTVGaming 
@DNRCREWx 
@WeRTFortnite 
@Demented_R…","40"
"38","989373718475563009","SupersTheName","26/4/2018 05:20:50","711","RT @FortniteBTR: Dark Vanguard &amp; Deep Space Lander Giveaway!

Just Retweet This &amp; Follow Me + @InnovateGG To Win✅

Winner Soon","165"
"39","989373736372453376","dinorathemoon","26/4/2018 05:20:55","6087","Dope ass picture the homie toke of my player in #Fortnite https://t.co/as3iZzI9Tq","1416"
"40","989373739962916864","bile_m90","26/4/2018 05:20:55","16","Check out my broadcast from my PlayStation 4! #PS4live (Fortnite) #battleroyale #Ps4 #Forts #Fortnite  live at https://t.co/32pFpxXXK3","4"
"41","989373745377751040","HockaChotta","26/4/2018 05:20:57","1361","RT @FortniteBTR: Dark Vanguard &amp; Deep Space Lander Giveaway!

Just Retweet This &amp; Follow Me + @InnovateGG To Win✅

Winner Soon","317"
"42","989373766726701056","kazunoko_gohan","26/4/2018 05:21:02","264","RT @fortnitematome: 【フォートナイト】「インパルス×くっつきグレ技」新しいくっつきグレネードの使い方が天才すぎる #fortnite #フォートナイト https://t.co/wkOmJU1eSO https://t.co/9eZmDHQRia","61"
