ID,name,full_name,club,club_logo
172879,Sokratis,Sokratis Papastathopoulos,Borussia Dortmund,https://cdn.sofifa.org/18/teams/22.png
168609,Miranda,Jo茫o Miranda de Souza Filho,Inter,https://cdn.sofifa.org/18/teams/44.png
165153,K. Benzema,Karim Benzema,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
162895,Cesc F bregas,Francesc F bregas i Soler,Chelsea,https://cdn.sofifa.org/18/teams/5.png
156616,F. Rib茅ry,Franck Rib茅ry,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
120533,Pepe,K茅pler Laveran Lima Ferreira,Beikta JK,https://cdn.sofifa.org/18/teams/327.png
48940,P. ech,Petr ech,Arsenal,https://cdn.sofifa.org/18/teams/1.png
208418,Y. Carrasco,Yannick Carrasco,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
201535,R. Varane,Rapha毛l Varane,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
201153,Morata,lvaro Borja Morata Mart铆n,Chelsea,https://cdn.sofifa.org/18/teams/5.png
200145,Casemiro,Carlos Henrique Venancio Casimiro,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
198219,L. Insigne,Lorenzo Insigne,Napoli,https://cdn.sofifa.org/18/teams/48.png
193747,Koke,Jorge Resurrecci贸n,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
193301,A. Lacazette,Alexandre Lacazette,Arsenal,https://cdn.sofifa.org/18/teams/1.png
193041,K. Navas,Keylor Navas,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
192883,H. Mkhitaryan,Henrikh Mkhitaryan,Manchester United,https://cdn.sofifa.org/18/teams/11.png
192593,D. Suba拧i,Danijel Suba拧i,AS Monaco,https://cdn.sofifa.org/18/teams/69.png
192563,B. Leno,Bernd Leno,Bayer 04 Leverkusen,https://cdn.sofifa.org/18/teams/32.png
192448,M. ter Stegen,Marc-Andr茅 ter Stegen,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
190547,K. Glik,Kamil Glik,AS Monaco,https://cdn.sofifa.org/18/teams/69.png
189332,Jordi Alba,Jordi Alba Ramos,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
186942,I. G眉ndoan,陌lkay G眉ndoan,Manchester City,https://cdn.sofifa.org/18/teams/10.png
184432,Azpilicueta,C茅sar Azpilicueta Tanco,Chelsea,https://cdn.sofifa.org/18/teams/5.png
183898,A. Di Mar铆a,ngel Di Mar铆a,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
180206,M. Pjani,Miralem Pjani,Juventus,https://cdn.sofifa.org/18/teams/45.png
173210,C. Marchisio,Claudio Marchisio,Juventus,https://cdn.sofifa.org/18/teams/45.png
172871,J. Vertonghen,Jan Vertonghen,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png
170890,B. Matuidi,Blaise Matuidi,Juventus,https://cdn.sofifa.org/18/teams/45.png
167628,S. Ruffier,St茅phane Ruffier,AS Saint-tienne,https://cdn.sofifa.org/18/teams/1819.png
164169,Filipe Lu铆s,Filipe Lu铆s Kasmirski,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
139720,V. Kompany,Vincent Kompany,Manchester City,https://cdn.sofifa.org/18/teams/10.png
137186,A. Barzagli,Andrea Barzagli,Juventus,https://cdn.sofifa.org/18/teams/45.png
225508,E. Bailly,Eric Bailly,Manchester United,https://cdn.sofifa.org/18/teams/11.png
220834,Marco Asensio,Marco Asensio Willemsen,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
218667,Bernardo Silva,Bernardo Mota Carvalho e Silva,Manchester City,https://cdn.sofifa.org/18/teams/10.png
212218,A. Laporte,Aymeric Laporte,Athletic Club de Bilbao,https://cdn.sofifa.org/18/teams/448.png
211117,D. Alli,Dele Alli,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png
208722,S. Man茅,Sadio Man茅,Liverpool,https://cdn.sofifa.org/18/teams/9.png
204963,Carvajal,Daniel Carvajal Ramos,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
202166,J. Draxler,Julian Draxler,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
201399,M. Icardi,Mauro Icardi,Inter,https://cdn.sofifa.org/18/teams/44.png
201024,K. Koulibaly,Kalidou Koulibaly,Napoli,https://cdn.sofifa.org/18/teams/48.png
200316,T. Horn,Timo Horn,1. FC K枚ln,https://cdn.sofifa.org/18/teams/31.png
192774,K. Manolas,Kostas Manolas,Roma,https://cdn.sofifa.org/18/teams/52.png
192227,S. Mustafi,Shkodran Mustafi,Arsenal,https://cdn.sofifa.org/18/teams/1.png
191740,Ander Herrera,Ander Herrera Ag眉era,Manchester United,https://cdn.sofifa.org/18/teams/11.png
191202,N. Mati,Nemanja Mati,Manchester United,https://cdn.sofifa.org/18/teams/11.png
189712,K. Strootman,Kevin Strootman,Roma,https://cdn.sofifa.org/18/teams/52.png
189505,Pedro,Pedro Rodr铆guez Ledesma,Chelsea,https://cdn.sofifa.org/18/teams/5.png
189117,R. B眉rki,Roman B眉rki,Borussia Dortmund,https://cdn.sofifa.org/18/teams/22.png
184120,Bruno,Bruno Soriano Llido,Villarreal CF,https://cdn.sofifa.org/18/teams/483.png
181458,I. Peri拧i,Ivan Peri拧i,Inter,https://cdn.sofifa.org/18/teams/44.png
180930,E. D啪eko,Edin D啪eko,Roma,https://cdn.sofifa.org/18/teams/52.png
180403,Willian,Willian Borges da Silva,Chelsea,https://cdn.sofifa.org/18/teams/5.png
179846,S. Khedira,Sami Khedira,Juventus,https://cdn.sofifa.org/18/teams/45.png
179783,R. F盲hrmann,Ralf F盲hrmann,FC Schalke 04,https://cdn.sofifa.org/18/teams/34.png
178750,Sergio Asenjo,Sergio Asenjo Andr茅s,Villarreal CF,https://cdn.sofifa.org/18/teams/483.png
178088,Juan Mata,Juan Manuel Mata Garc铆a,Manchester United,https://cdn.sofifa.org/18/teams/11.png
177509,M. Benatia,Medhi Benatia,Juventus,https://cdn.sofifa.org/18/teams/45.png
167397,Falcao,Radamel Falcao Garc铆a Zarate,AS Monaco,https://cdn.sofifa.org/18/teams/69.png
165229,L. Koscielny,Laurent Koscielny,Arsenal,https://cdn.sofifa.org/18/teams/1.png
164468,G. Cahill,Gary Cahill,Chelsea,https://cdn.sofifa.org/18/teams/5.png
146530,Dani Alves,Daniel Alves da Silva,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
143076,A. G贸mez,Alejandro G贸mez,Atalanta,https://cdn.sofifa.org/18/teams/39.png
106231,Aduriz,Aritz Aduriz Zubeldia,Athletic Club de Bilbao,https://cdn.sofifa.org/18/teams/448.png
231747,K. Mbapp茅,Kylian Mbapp茅,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
231443,O. Demb茅l茅,Ousmane Demb茅l茅,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
220971,N. Ke茂ta,Naby Ke茂ta,RB Leipzig,https://cdn.sofifa.org/18/teams/112172.png
216460,J. Gim茅nez,Jos茅 Mar铆a Gim茅nez,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
215316,G. Rulli,Ger贸nimo Rulli,Real Sociedad,https://cdn.sofifa.org/18/teams/457.png
213565,T. Lemar,Thomas Lemar,AS Monaco,https://cdn.sofifa.org/18/teams/69.png
212814,Jo茫o M谩rio,Jo茫o M谩rio Naval Costa Eduardo,Inter,https://cdn.sofifa.org/18/teams/44.png
212190,N. S眉le,Niklas S眉le,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
210257,Ederson,Ederson Santana de Moraes,Manchester City,https://cdn.sofifa.org/18/teams/10.png
209658,L. Goretzka,Leon Goretzka,FC Schalke 04,https://cdn.sofifa.org/18/teams/34.png
209499,Fabinho,F谩bio Henrique Tavares,AS Monaco,https://cdn.sofifa.org/18/teams/69.png
209331,M. Salah,Mohamed Salah,Liverpool,https://cdn.sofifa.org/18/teams/9.png
208596,A. Belotti,Andrea Belotti,Torino,https://cdn.sofifa.org/18/teams/54.png
208448,E. Forsberg,Emil Forsberg,RB Leipzig,https://cdn.sofifa.org/18/teams/112172.png
207865,Marquinhos,Marcos Aoas Corr锚a,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
207566,William Carvalho,William Silva de Carvalho,Sporting CP,https://cdn.sofifa.org/18/teams/237.png
205600,S. Umtiti,Samuel Umtiti,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
204485,R. Mahrez,Riyad Mahrez,Leicester City,https://cdn.sofifa.org/18/teams/95.png
203376,V. van Dijk,Virgil van Dijk,Southampton,https://cdn.sofifa.org/18/teams/17.png
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,Liverpool,https://cdn.sofifa.org/18/teams/9.png
200888,Danilo Pereira,Danilo Lu铆s H茅lio Pereira,FC Porto,https://cdn.sofifa.org/18/teams/236.png
199715,Vitolo,V铆ctor Mach铆n P茅rez,UD Las Palmas,https://cdn.sofifa.org/18/teams/472.png
199482,A. Lopes,Anthony Lopes,Olympique Lyonnais,https://cdn.sofifa.org/18/teams/66.png
198176,S. de Vrij,Stefan de Vrij,Lazio,https://cdn.sofifa.org/18/teams/46.png
198009,M. Perin,Mattia Perin,Genoa,https://cdn.sofifa.org/18/teams/110556.png
197061,J. Matip,Joel Matip,Liverpool,https://cdn.sofifa.org/18/teams/9.png
193474,I. Gueye,Idrissa Gueye,Everton,https://cdn.sofifa.org/18/teams/7.png
192629,Iago Aspas,Iago Aspas Juncal,RC Celta de Vigo,https://cdn.sofifa.org/18/teams/450.png
192387,C. Immobile,Ciro Immobile,Lazio,https://cdn.sofifa.org/18/teams/46.png
192366,N. Otamendi,Nicol谩s Otamendi,Manchester City,https://cdn.sofifa.org/18/teams/10.png
191180,J. Pastore,Javier Pastore,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
189513,Parejo,Daniel Parejo Mu帽oz,Valencia CF,https://cdn.sofifa.org/18/teams/461.png
189358,S. Kagawa,Shinji Kagawa,Borussia Dortmund,https://cdn.sofifa.org/18/teams/22.png
