Book_id,Title,Author,Author_id
1101,Fast Food/ Fast Food Nation (Actualidad),Eric Schlosser,380
1102,Fast Food Nation: What the All-American Meal Is Doing to the World,Eric Schlosser,380
1103,Snow Flower and the Secret Fan,Lisa See,713
1104,Do You Want to Know a Secret? the Story of the Official George Harrison Fan Club,Pat Kinzer Mancuso,714
1106,Secrets of the Super [Football] Athletes: Tips for Fans and Players,Abbot Solomon,716
1107,Grandma's Little Secrets,Fan B. Smith,718
1108,All Men Have Secrets,Tom Gallagher,719
1109,Kakyō Shōhō No Hiden: Chūgoku Koten No Chie,Kazuo Matsumoto,720
1110,The Broker,John Grisham,721
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,722
1112,The Complete Idiot's Guide to Success as a Mortgage Broker,Daniel S. Kahn,723
1113,21 Things I Wish My Broker Had Told Me: Practical Advice for New Real Estate Professionals,Frank Cook,724
1114,So You Want to Be a Mortgage Broker,Ameen Kamadia,725
1115,Body Brokers: Inside America's Underground Trade in Human Remains,Annie Cheney,726
1116,"The Devil's Broker: Seeking Gold, God, and Glory in Fourteenth- Century Italy",Frances Stonor Saunders,727
1117,"The Power Broker: A Novel (Christian Gillette, #3)",Stephen W. Frey,12459
1118,Broker to Broker: Management Lessons from America's Most Successful Real Estate Companies,Robert Freedman,729
1119,The Rational Guide to SQL Server 2005 Service Broker (Rational Guides),Roger Wolter,730
1120,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips,731
1121,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke,733
1122,Body for Life Success Journal,Bill Phillips,731
1123,"Eating for Life: Your Guide to Great Health, Fat Loss and Increased Energy!",Bill Phillips,731
1124,"Body for Life for Women: 12 Weeks to a Firm, Fit, Fabulous Body at Any Age",Pamela Peeke,733
1125,Body Life: The Book That Inspired a Return to the Church's Real Meaning and Mission,Ray C. Stedman,734
1126,"One Body, One Life: Six Weeks to the New You",Gregory Joujon-Roche,735
1127,Body Piercing Saved My Life: Inside the Phenomenon of Christian Rock,Andrew Beaujon,736
1128,Life in His Body,David Finnell,737
