"1","Fortnite","4","Epic Gamesi","PC"
"2","Hearthstone","6","Blizzard","PC"
"3","LOL","2","Riot Games","PC"
"4","Minecraft","2","Mojang","PC"
"5","Overwatch","6","Blizzard","PC"
"6","PUBG","1","PUBG Corporation","PC"
"7","Zelda","3","Nintendo","Switch"
"8","DarkSouls","1","Namco Bandai","PS4"
