,First,Movies,STATUS,Second,Tags
204015,Dream,A Nightmare on Elm Street,SIMILAR,Nightmare,Nightmare
209290,Saturdays,Atomic Blonde,SIMILAR,Saturday,Saturday
213224,Racing,127 Hours,SIMILAR,Sport,Sport
215450,River,August: Osage County,SIMILAR,Osage,Osage
215492,River,2 Guns,SIMILAR,Red,Red
215759,River,A Walk Among the Tombstones,SIMILAR,Amazon,Amazon
220388,Read,A Man Called Ove,SIMILAR,Book,Book
220389,Read,A Man Called Ove,SIMILAR,Reads,Reads
220452,Read,Alex Cross,SIMILAR,Books,Books
221726,Rwanda,21 & Over,SIMILAR,Kenya,Kenya
221937,Rwanda,Animal Kingdom,SIMILAR,Nigeria,Nigeria
223422,Support,Automata,SIMILAR,Activities,Activities
238664,Jersey,20th Century Women,SIMILAR,Me,Me
238678,Jersey,42,SIMILAR,De,De
238939,Jersey,Assassin's Creed,SIMILAR,Texas,Texas
239035,Jersey,A Ghost Story,SIMILAR,Or,Or
239258,Jersey,42,SIMILAR,Hi,Hi
239377,Jersey,Allegiant,SIMILAR,Las,Las
239402,Jersey,Angry Birds,SIMILAR,La,La
239894,Jersey,1922,SIMILAR,In,In
241527,Yankees,50/50,SIMILAR,Federal,Federal
241678,Yankees,American Assassin,SIMILAR,American,American
243833,Art,Annabelle: Creation,SIMILAR,Creation,Creation
254276,Books,A Man Called Ove,SIMILAR,Book,Book
254277,Books,A Man Called Ove,SIMILAR,Reads,Reads
254316,Books,Abduction,SIMILAR,Read,Read
273240,Start,Alan Partridge: Alpha Papa,SIMILAR,Alpha,Alpha
277882,Days,A Nightmare on Elm Street,SIMILAR,Years,Years
278296,Music,A Nightmare on Elm Street,SIMILAR,Tunes,Tunes
293436,Ground,Absolutely Anything,SIMILAR,Earth,Earth
296537,Job,13 Hours,SIMILAR,Career,Career
296731,Job,Allegiant,SIMILAR,Jobs,Jobs
296846,Job,Automata,SIMILAR,Activities,Activities
297114,Job,127 Hours,SIMILAR,Sport,Sport
297949,Jobs,13 Hours,SIMILAR,Career,Career
298142,Jobs,Allegiant,SIMILAR,Job,Job
298258,Jobs,Automata,SIMILAR,Activities,Activities
298526,Jobs,127 Hours,SIMILAR,Sport,Sport
299653,Laredo,Assassin's Creed,SIMILAR,Houston,Houston
299772,Laredo,A Street Cat Named Bob,SIMILAR,Sur,Sur
299804,Laredo,Allegiant,SIMILAR,Fargo,Fargo
299873,Laredo,Battle of the Sexes,SIMILAR,Tampa,Tampa
300064,Laredo,Aftermath,SIMILAR,Cambridge,Cambridge
300225,Laredo,42,SIMILAR,Leon,Leon
300429,Laredo,42,SIMILAR,Cordoba,Cordoba
300501,Laredo,Aftermath,SIMILAR,Cambridge,Cambridge
300624,Laredo,42,SIMILAR,Leon,Leon
301001,Las,Angry Birds,SIMILAR,La,La
301281,Las,Battle Los Angeles,SIMILAR,Metal,Metal
302944,Marketing,Angry Birds,SIMILAR,Sales,Sales
303060,Marketing,A Brilliant Young Mind,SIMILAR,Hawking,Hawking
303373,Marketing,Angry Birds,SIMILAR,Sales,Sales
305966,Veterans,Ant-Man,SIMILAR,Man,Man
306075,Veterans,42,SIMILAR,Men,Men
309504,Highway,Ant-Man,SIMILAR,Road,Road
312562,Pride,Arthur Christmas,SIMILAR,Feeling,Feeling
319187,American,50/50,SIMILAR,Federal,Federal
319283,American,Admission,SIMILAR,Yankees,Yankees
319830,American,Admission,SIMILAR,Yankees,Yankees
320267,American,Admission,SIMILAR,Yankees,Yankees
325050,Cars,Arbitrage,SIMILAR,Coupe,Coupe
328703,Latin,A Haunted House,SIMILAR,Romance,Romance
328717,Latin,A Royal Affair,SIMILAR,Romances,Romances
330447,Women,20th Century Women,SIMILAR,Womens,Womens
330547,Women,A Walk Among the Tombstones,SIMILAR,Amazon,Amazon
330637,Women,American Honey,SIMILAR,Lady,Lady
330745,Women,Bachelorette,SIMILAR,Bachelorette,Bachelorette
330754,Women,Bastille Day,SIMILAR,Miss,Miss
330843,Women,Abduction,SIMILAR,Girls,Girls
330844,Women,Abduction,SIMILAR,Girl,Girl
331169,Women,American Honey,SIMILAR,Lady,Lady
331542,Women,A Street Cat Named Bob,SIMILAR,Cats,Cats
331800,Women,A Street Cat Named Bob,SIMILAR,Cat,Cat
333828,Go,13,SIMILAR,Tour,Tour
336299,Reasons,Amy,SIMILAR,Why,Why
336493,Reasons,Abduction,SIMILAR,Reason,Reason
336800,Reasons,Allegiant,SIMILAR,Ground,Ground
343354,Why,American Sniper,SIMILAR,Reasons,Reasons
343553,Why,Abduction,SIMILAR,Reason,Reason
343860,Why,Allegiant,SIMILAR,Ground,Ground
346153,La,Allegiant,SIMILAR,Las,Las
346465,La,Battle Los Angeles,SIMILAR,Metal,Metal
348404,Last,10 Cloverfield Lane,SIMILAR,Ending,Ending
352396,Animal,Arrival,SIMILAR,Adult,Adult
354377,British,13 Hours,SIMILAR,Country,Country
357278,Nigeria,21 & Over,SIMILAR,Kenya,Kenya
357393,Nigeria,Abduction,SIMILAR,Rwanda,Rwanda
358973,Artist,August: Osage County,SIMILAR,Weston,Weston
359343,Artist,A Walk Among the Tombstones,SIMILAR,David,David
362899,Travel,13,SIMILAR,Tour,Tour
362985,Travel,A Dog's Purpose,SIMILAR,Trip,Trip
370354,Photo,A Hologram for the King,SIMILAR,Hologram,Hologram
372245,Critique,A Bad Moms Christmas,SIMILAR,Review,Review
373094,Help,Automata,SIMILAR,Activities,Activities
373476,Help,Abduction,SIMILAR,Support,Support
373654,Help,50/50,SIMILAR,Service,Service
377833,Android,Automata,SIMILAR,Automata,Automata
386515,Ant,Ant-Man,SIMILAR,Wasp,Wasp
388151,Avengers,13,SIMILAR,Tough,Tough
389931,Road,Allied,SIMILAR,Highway,Highway
401078,Amsterdam,47 Ronin,SIMILAR,Madrid,Madrid
405159,Fraud,Alice in Wonderland,SIMILAR,Con,Con
405984,Penn,All the Money in the World,SIMILAR,Quakers,Quakers
407151,Watts,Anonymous,SIMILAR,Hogg,Hogg
409710,Coupe,American Made,SIMILAR,Cars,Cars
423653,Bolivia,42,SIMILAR,Argentina,Argentina
426431,Fear,10 Cloverfield Lane,SIMILAR,Horror,Horror
429641,Arthur,99 Homes,SIMILAR,Garfield,Garfield
430139,Arthur,A Bigger Splash,SIMILAR,Johnson,Johnson
430537,Arthur,A Bigger Splash,SIMILAR,Johnson,Johnson
431465,Merlin,Argo,SIMILAR,Argonaut,Argonaut
431473,Merlin,Arthur,SIMILAR,Arthur,Arthur
436520,Houston,Allegiant,SIMILAR,Laredo,Laredo
436736,Houston,A Street Cat Named Bob,SIMILAR,Sur,Sur
436768,Houston,Allegiant,SIMILAR,Fargo,Fargo
436837,Houston,Battle of the Sexes,SIMILAR,Tampa,Tampa
437028,Houston,Aftermath,SIMILAR,Cambridge,Cambridge
437189,Houston,42,SIMILAR,Leon,Leon
437393,Houston,42,SIMILAR,Cordoba,Cordoba
437465,Houston,Aftermath,SIMILAR,Cambridge,Cambridge
437588,Houston,42,SIMILAR,Leon,Leon
439168,Texas,20th Century Women,SIMILAR,Me,Me
439182,Texas,42,SIMILAR,De,De
439301,Texas,Admission,SIMILAR,Jersey,Jersey
439539,Texas,A Ghost Story,SIMILAR,Or,Or
439762,Texas,42,SIMILAR,Hi,Hi
439881,Texas,Allegiant,SIMILAR,Las,Las
439906,Texas,Angry Birds,SIMILAR,La,La
440398,Texas,1922,SIMILAR,In,In
443516,Saturday,A Walk in the Woods,SIMILAR,Saturdays,Saturdays
450885,Actress,Alien: Covenant,SIMILAR,Scott,Scott
450904,Actress,American Ultra,SIMILAR,Stewart,Stewart
454083,Make,Automata,SIMILAR,Models,Models
459154,Weston,Anna Karenina,SIMILAR,Artist,Artist
460470,Activities,Abduction,SIMILAR,Support,Support
460522,Activities,Allegiant,SIMILAR,Job,Job
460523,Activities,Allegiant,SIMILAR,Jobs,Jobs
