2018-04-15 22:50:11,b'@undisputed Skip Bayless on his way to Fox Studios right this very second..\n#LeBronJames #Cavs #Pacers https://t.co/MxdHqmESpf'
2018-04-15 22:47:31,b'#LeBronJames might be on  #ZeroDark23Mode but he knows the #Cavs are in trouble after that smackdown by the #Pacers \n#NBAPlayoffs'
2018-04-15 22:46:52,"b""I didn't know #LebronJames had a triple dub #Cavs trailing most of the game didn't know."""
2018-04-15 22:46:41,b'He is King \xf0\x9f\x91\x91 \n#KingJames\n#LeBron23\n#LeBronJames \n#ClevelandCavaliers basketball \xf0\x9f\x8f\x80 https://t.co/00gqA49Ih9'
2018-04-15 22:46:10,"b'Very happy for the #Pacers, who would have thought that a #PaulGeorge trade would make the Pacers still a contender\xe2\x80\xa6 https://t.co/3lNpJ4Yyzg'"
2018-04-15 22:40:15,b'Down go the #Cavs. #LeBronJames was not the best player on the court today. @VicOladipo stole the show and put an e\xe2\x80\xa6 https://t.co/6DGDzjKTbb'
2018-04-15 22:36:39,b'RT @jpuopolo: Who do you think is going to win in the #Pacers vs #Cavaliers series? \n\n#PacersVsCavs \n#LeBronWatch \n#LeBronJames'
2018-04-15 22:33:48,b'The @RealSkipBayless gets my respect because he\xe2\x80\x99s never wavered when it comes to #LebronJames ...  No Paul G Vs No\xe2\x80\xa6 https://t.co/svzscQZiVb'
2018-04-15 22:33:43,"b""RT @Artum12: @Pacers \xf0\x9d\x90\x91\xf0\x9d\x90\x9e\xf0\x9d\x90\x9f\xf0\x9d\x90\xac, don't you get tired of bailing out #LeBronJames &amp; #Cavs every year at playoffs? Becomes \xf0\x9d\x93\x91\xf0\x9d\x93\x9e.\xf0\x9d\x93\x9e.\xf0\x9d\x93\xb8.\xf0\x9d\x93\xb8.\xf0\x9d\x93\xbb\xf0\x9d\x93\xb2\xf0\x9d\x93\xb7\xf0\x9d\x93\xb0 to watch!\xe2\x80\xa6"""
2018-04-15 22:32:55,"b""@Pacers \xf0\x9d\x90\x91\xf0\x9d\x90\x9e\xf0\x9d\x90\x9f\xf0\x9d\x90\xac, don't you get tired of bailing out #LeBronJames &amp; #Cavs every year at playoffs? Becomes \xf0\x9d\x93\x91\xf0\x9d\x93\x9e.\xf0\x9d\x93\x9e.\xf0\x9d\x93\xb8.\xf0\x9d\x93\xb8.\xf0\x9d\x93\xbb\xf0\x9d\x93\xb2\xf0\x9d\x93\xb7\xf0\x9d\x93\xb0\xe2\x80\xa6 https://t.co/oVHaIyR96J"""
