Book_id,Title,Author,Rating,Publish_time,Rating_count
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon,4.28,2005,27
776,Buddhism Plain and Simple,Steve Hagen,4.10,1998,4458
777,Buddhism Is Not What You Think: Finding Freedom Beyond Beliefs,Steve Hagen,4.10,2009,753
778,Buddhism: A New Approach,Steve    Clarke,2.00,2005,1
779,"Unhypnosis: How to Wake Up, Start Over, and Create the Life You're Meant to Live",Steve Taubman,4.00,,8
780,The Path to Buddha: A Tibetan Pilgrimage,Steve McCurry,4.13,2003,27
781,The Shaolin Way: 10 Modern Secrets of Survival from a Shaolin Grandmaster,Steve DeMasco,3.23,2005,47
782,"Meditation, Compassion & Lovingkindness: An Approach to Vipassana Practice",Steve Weissman,3.33,1996,3
783,Now Zen,Charlotte Joko Beck,4.17,1995,18
786,The Rough Guide to London,Rob Humphreys,3.96,2003,9
787,The Mini Rough Guide to London,Rob Humphreys,3.75,2006,1
788,The Rough Guide to London Restaurants 2004 6,Charles Campion,3.96,2003,0
789,The Rough Guide to Walks in London and Southeast England,Helena Smith,4.08,2003,7
790,Rough Guide Directions: London,Rob Humphreys,3.75,2004,4
791,The Rough Guide 11s Arsenal (Rough Guide 11s S.),Damian Hall,4.00,,1
792,London: City Guide (Lonely Planet City Guide),Lonely Planet,4.00,2006,38
793,Best of London (Lonely Planet Best Of),Lonely Planet,4.20,2004,8
794,London,Lonely Planet,4.00,2002,7
796,Lonely Planet Londres,Lonely Planet,4.00,2004,0
797,Lonely Planet Londres,Lonely Planet,4.00,2006,0
798,Out to Eat London 2001 (Lonely Planet),Lonely Planet,0.00,2000,0
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet,0.00,2001,0
800,Lonely Planet Londres,Lonely Planet,4.00,,0
802,Lonely Planet Londres,Lonely Planet,4.00,2003,0
803,Lo mejor de Londres (Lonely Planet Best Of),Lonely Planet,4.20,2005,0
804,Lonely Planet: Londra,Steve Fallon,0.00,,0
805,"Thai Massage Manual: Natural Therapy for Flexibility, Relaxation, and Energy Balance",Maria Mercati,4.05,2005,20
806,Encyclopedia of Thai Massage,C. Pierce Salguero,4.24,2004,52
807,Thai Massage: Sacred Body Work,Ananda  Apfelbaum,4.29,2004,24
808,The Thai Massage Workbook,Kay Rynerson,4.00,,2
809,The Art Of Traditional Thai Massage,Asokananda,4.00,,10
810,Thai Yoga Massage: A Dynamic Therapy for Physical Well-Being and Spiritual Energy,Kam Thye Chow,3.88,2004,30
811,Thai Massage,Nicky  Smith,3.40,2005,5
812,Nuad Thai: Traditional Thai Massage,Max Chia,3.67,2005,3
813,Thai Massage: A Traditional Medical Technique,Richard Gold,4.00,2006,12
814,Scents (Chic Simple),Janine King,0.00,,0
815,"Three Nights in August: Strategy, Heartbreak, and Joy Inside the Mind of a Manager",H.G. Bissinger,3.87,2006,6087
816,Cryptonomicon,Neal Stephenson,4.25,2002,75758
817,"Le Code Enigma (Cryptonomicon, #1)",Neal Stephenson,4.03,2001,39
818,Cryptonomicon,Neal Stephenson,4.25,,138
819,Cryptonomicon,Neal Stephenson,4.25,2000,853
820,"Golgotha (Cryptonomicon, #3)",Neal Stephenson,4.13,,6
821,"Le Réseau Kinakuta (Cryptonomicon, #2)",Neal Stephenson,4.12,2001,6
822,"The Confusion (The Baroque Cycle, #2)",Neal Stephenson,4.24,2005,17969
823,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson,3.92,2004,28640
824,The Cobweb,Neal Stephenson,3.60,2005,2291
825,Zodiac,Neal Stephenson,3.70,,13827
826,The Big U,Neal Stephenson,3.25,2001,4373
827,"The Diamond Age: Or, A Young Lady's Illustrated Primer",Neal Stephenson,4.19,2000,64451
828,Interface,Neal Stephenson,3.66,2005,4325
829,"Odalisque (The Baroque Cycle, Vol. 1, Book 3)",Neal Stephenson,4.19,2006,1386
830,Snow Crash,Neal Stephenson,4.03,2000,184061
831,Snow Crash,Neal Stephenson,4.03,,187
832,Snow Crash: The Official Strategy Guide,Melissa Tyler,0.00,,0
833,"Crash Course: Gross Anatomy (Crash Course Games for Brains, An Interactice Reference Book)",Susan Ring,5.00,,2
834,"Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments, Volume II: The Endgame",Dan Harrington,4.26,2005,1202
835,"Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments, Volume I: Strategic Play",Dan Harrington,4.23,2004,1703
836,The Good Eye,Dan    Harrington,0.00,2006,0
837,Angelfish,Dan    Harrington,0.00,2006,0
839,A Level Ict For Edexcel,Mary Reid,0.00,,0
840,The Design of Everyday Things,Donald A. Norman,4.19,2002,13217
841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.92,2005,3119
842,The Psychology of Everyday Things,Donald A. Norman,4.19,1988,244
843,Doing Things with Things: The Design and Use of Everyday Objects,Alan Costall,3.00,2006,3
844,Emotional Design: Why We Love (Or Hate) Everyday Things,Donald A. Norman,3.92,,25
845,Wire,D. Rozensztroch,4.00,1994,2
846,Wild Things: The Material Culture of Everyday Life,Judith Attfield,3.67,2000,12
847,9/11 Descent Into Tyranny: The New World Order's Dark Plans to Turn Earth Into a Prison Planet,Alex E. Jones,3.67,2002,54
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones,4.30,2006,43
850,Creative Thought Remedies,Alex Jones,3.33,1986,3
851,Noise,Alex Jones,0.00,1998,0
852,The Syndicate: Volumes 1 & 2,Jules Jones,3.71,,28
853,Seven Mansions of Color,Alex Jones,3.86,1983,7
854,A More Perfect Way,Alex C. Jones,0.00,2002,0
855,Fields of Gold,Alex Jones,0.00,2005,0
856,The Trust: The Private and Powerful Family Behind The New York Times,Susan E. Tifft,3.93,2000,25
857,Web Standards Solutions: The Markup and Style Handbook (Pioneering Series),Dan Cederholm,4.08,,265
858,Afro American Artists: A Bio-Bibliographical Directory,Theresa Cederholm,5.00,,1
859,CSS Cookbook,Christopher Schmitt,3.87,2004,37
860,Justitiemord: Fallet Keith Cederholm,Jan Guillou,0.00,,0
861,Rosamin: En Pige Af Folket Fortæller,Rosa Cederholm,0.00,,0
862,I Slagbjörnens Spår Berättelser Från Norrlandska Vildmarker Och Småländska Storskogar,Stig Cederholm,0.00,,0
863,How to Build a Real Estate Empire: Wisdom from the Best in the Business,John  Hamilton,3.48,2005,23
864,The Alchemist,Paulo Coelho,3.83,2006,701
865,The Alchemist,Paulo Coelho,3.83,1993,1410332
866,"Fullmetal Alchemist, Vol. 9 (Fullmetal Alchemist, #9)",Hiromu Arakawa,4.57,2006,7914
867,Secrets of the Alchemist Dar (A Treasure's Trove),Michael Stadther,3.71,,33
868,"Fullmetal Alchemist, Vol. 3 (Fullmetal Alchemist, #3)",Hiromu Arakawa,4.56,2005,12721
869,"Fullmetal Alchemist, Vol. 8 (Fullmetal Alchemist, #8)",Hiromu Arakawa,4.57,2006,8152
870,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",Hiromu Arakawa,4.49,2005,97995
871,"Fullmetal Alchemist, Vol. 4 (Fullmetal Alchemist, #4)",Hiromu Arakawa,4.55,2005,9089
872,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho,3.83,1998,213
873,"Fullmetal Alchemist, Vol. 2 (Fullmetal Alchemist, #2)",Hiromu Arakawa,4.53,2005,12940
874,The Kite Runner,Khaled Hosseini,4.27,,1204
876,Bookclub in a Box Discusses Khaled Hosseini's Novel The Kite Runner,Marilyn Herbert,4.18,2006,149
877,Cambridge Wizard Student Guide The Kite Runner (Cambridge Wizard English Student Guides),Sue  Sherman,3.88,2006,8
878,Una semana de invierno,Marcia Willett,3.94,,4
879,The Kite Runner: Experiments in Poetry,Henry Rivers,0.00,,0
880,Pompeii,Robert   Harris,3.80,2005,23904
881,Pompeii...Buried Alive!,Edith Kunhardt Davis,3.96,1987,2187
882,"Pompeii: The History, Life and Art of the Buried City",Marisa Ranieri Panetta,4.55,2010,29
883,Pompeii: Lost and Found,Mary Pope Osborne,3.70,2006,98
884,Pompeii: Monuments Past and Present,Alfonso De Franciscis,4.12,2000,8
885,A. D. 62: Pompeii,Rebecca East,3.31,2003,116
886,Pompeii: The Day a City Died,Robert Étienne,3.54,,7
887,Pompeii: Public and Private Life,Paul Zanker,3.33,1999,64
888,The Last Days of Pompeii,Edward Bulwer-Lytton,3.61,2002,1050
889,Escape From Pompeii,Christina Balit,4.17,,56
890,Of Mice and Men,John Steinbeck,3.85,2002,1542277
891,Cliffsnotes on Steinbeck's of Mice and Men,Susan VanKirk,3.93,2000,30
892,Of Mice and Men,John Steinbeck,3.85,2003,178
893,Of Mice and Men,John Steinbeck,3.85,1983,77
894,Of Mice and Men (SparkNotes Literature Guide),SparkNotes,3.36,2002,1
895,Of Mice and Men,John Steinbeck,3.85,1982,33
896,Of Mice and Men,John Steinbeck,3.85,1982,164
897,Of Mice And Men:  A Unit Plan,Mary B. Collins,5.00,,1
898,Literature Guide: Of Mice and Men,Kristen Bowers,3.00,,2
899,Of Mice and Men,John Steinbeck,3.85,2001,1899
900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.73,2005,17663
901,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.30,2002,6824
902,The Westing Game,Ellen Raskin,4.03,2004,123767
903,"The Egypt Game (Game, #1)",Zilpha Keatley Snyder,3.81,2009,27735
904,The Game Maker's Apprentice: Game Development for Beginners,Jacob Habgood,4.00,,112
905,The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,4.24,1997,4218
906,"Game of Shadows: Barry Bonds, BALCO, and the Steroids Scandal that Rocked Professional Sports",Mark Fainaru-Wada,3.78,,4443
907,The City Game,Pete Axthelm,4.06,1998,3
908,Jim Cramer's Real Money: Sane Investing in an Insane World,James J. Cramer,3.66,2005,1533
909,"Jim Cramer's Mad Money: Watch TV, Get Rich",James J. Cramer,3.47,2006,684
910,Trading with the Enemy: Seduction and Betrayal on Jim Cramer's Wall Street,Nicholas W. Maier,3.70,2002,81
911,The Forewarned Investor: Don't Get Fooled Again by Corporate Fraud,Brett S. Messing,3.33,2006,6
912,"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.98,,141
913,Rich Dad Poor Dad Classics - Boxed Set,Robert T. Kiyosaki,3.98,2001,108
914,"Rich Dad, Poor Dad 2: Cash Flow Quadrant - Rich Dad's Guide to Financial Freedom",Robert T. Kiyosaki,4.07,,652
915,"A Lonely Resurrection (John Rain, #2)",Barry Eisler,4.09,2013,4890
916,And a Hard Rain Fell,John Ketwig,4.13,2004,537
918,Hard Rain,Tim Riley,3.44,1993,4
919,Hard Rain,Janwillem van de Wetering,3.97,2003,198
920,Hard Rain,Peter Abrahams,3.62,1989,5
921,Hard Rain: History of the Browning Machine Guns,Frank Iannamico,5.00,,1
922,Hard Rain: Our Head Long Collision with Nature,Mark Ryall Edwards,4.14,,4
923,Hard rain,Matthew W. Mallen,4.00,,2
924,Hard Rain (Code Red #16),Darlene Scalera,4.44,2004,17
925,"A Clean Kill in Tokyo (John Rain, #1)",Barry Eisler,3.95,2002,8434
926,Whatever the Weather: When the Rain Falls (Whatever the Weather),Mary Lonsdale,2.67,,3
927,The Rain Falls Like Rain: Poems,David Helwig,0.00,,0
928,The Rain Falls Like Rain: Poems,David Helwig,0.00,,0
929,Memoirs of a Geisha,Arthur Golden,4.09,2005,126242
930,Memoirs of a Geisha,Arthur Golden,4.09,2005,1304453
931,Memoirs of a Geisha,Arthur Golden,4.09,,1985
